,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2454947.91380,47.05469,16.761767,-2.11636,0.12311,0.00334,-0.01033,0.00201
1,2455411.77394,47.21519,16.735164,-1.99692,-0.09206,0.00200,-0.10862,0.00200
2,2455411.84777,47.21619,16.735125,-1.99728,-0.08012,0.00200,-0.11149,0.00200
3,2455439.72274,47.63142,16.729158,-2.16169,-0.13093,0.00097,-0.00172,0.00246
4,2455441.04295,47.65206,16.729306,-2.17072,-0.02228,0.00131,-0.13318,0.00137
5,2455467.09059,48.04750,16.740347,-2.35914,-0.00562,0.00467,0.13799,0.00172
6,2455752.29017,46.79484,16.825217,-1.89475,0.08235,0.00858,-0.11167,0.00413
7,2456020.03911,47.01580,16.993264,-2.23083,-0.11187,0.00300,0.07594,0.00300
8,2456053.96807,46.62621,16.968394,-2.00150,-0.05069,0.00300,0.12971,0.00300
9,2456141.85712,46.93075,16.878472,-1.96019,-0.10084,0.01354,-0.07780,0.00618
10,2456404.98806,46.65088,17.053842,-2.07036,-0.08404,0.00300,0.09796,0.01080
11,2456486.75571,46.56242,16.966169,-1.86689,-0.12196,0.00332,-0.08097,0.00786
