,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2452935.55059,44.557109999999994,21.7657,-16.07219,0.3359,0.0263,-0.2352,0.0315
1,2453261.61952,44.064640000000004,21.874357999999997,-15.599670000000001,-0.3291,0.0132,0.19,0.0179
2,2453529.89323,44.61508,22.044667,-14.711689999999999,0.2321,0.0099,-0.1566,0.0098
3,2453530.8382599996,44.6001,22.044428,-14.71406,0.2376,0.0201,-0.1663,0.0202
4,2453560.83068,44.19168,22.027156,-14.83686,0.3179,0.0125,-0.169,0.0173
5,2453576.59475,44.03872,22.012744,-14.92619,0.32118,0.00058,-0.16998,0.00249
6,2453591.6956,43.9755,21.994578,-15.02936,0.3188,0.0044,-0.142,0.0058
7,2453597.4668400004,43.95227,21.988547,-15.06395,0.32174,0.00108,-0.15645,0.00064
8,2453617.98881,43.98993,21.963711,-15.196579999999999,0.30756,0.00151,-0.13804,0.00114
9,2453996.37532,44.062059999999995,22.027214,-14.91707,0.19047,0.00112,-0.04018,0.0017699999999999999
10,2454384.89383,44.31662,22.082806,-14.66448,0.06437999999999999,0.00148,-0.07545,0.00179
11,2454961.5894299997,45.17737,22.344261,-13.251439999999999,-0.10400999999999999,0.00103,-0.03098,0.00387
