,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2454387.867,28.40955,1.062033,6.642810000000001,-0.46,0.066,-0.5,0.066
1,2454418.687,28.57872,1.014614,6.30425,-0.648,0.018,-0.493,0.018
2,2454423.681,28.630509999999997,1.008456,6.25894,-0.621,0.025,-0.502,0.025
3,2454431.561,28.72389,1.000033,6.1955800000000005,-0.584,0.035,-0.456,0.035
4,2454434.523,28.76237,0.997317,6.174580000000001,-0.621,0.03,-0.475,0.03
5,2454446.558,28.934959999999997,0.989075,6.10681,-0.639,0.037,-0.431,0.037
6,2454456.531,29.0933,0.9859530000000001,6.07397,-0.694,0.03,-0.475,0.03
7,2454473.554,29.38025,0.988878,6.06964,-0.712,0.031,-0.456,0.031
8,2454730.07201,28.37515,1.272103,7.4088199999999995,0.24861,0.001,0.39862,0.00141
9,2454770.901,28.35271,1.204797,6.939,0.482,0.015,0.51,0.015
10,2454799.691,28.62302,1.167089,6.672969999999999,0.601,0.036,0.564,0.036
11,2454838.708,29.23155,1.1548829999999999,6.557110000000001,0.737,0.026,0.637,0.026
12,2454863.75,29.64855,1.175761,6.65983,0.792,0.022,0.619,0.022
13,2455052.125,28.81832,1.488047,8.22953,0.946,0.027,0.428,0.027
14,2455068.122,28.58313,1.478483,8.140310000000001,0.928,0.02,0.41,0.024
15,2455075.083,28.49414,1.471883,8.08747,0.892,0.015,0.382,0.015
16,2455101.9,28.25485,1.435689,7.823580000000001,0.801,0.017,0.3,0.015
17,2455120.951,28.20539,1.403858,7.60392,0.719,0.019,0.255,0.016
18,2455140.853,28.27045,1.370819,7.38006,0.638,0.02,0.191,0.019
19,2455172.773,28.599790000000002,1.331442,7.1116399999999995,0.436,0.025,0.045,0.015
20,2455176.7422,28.656409999999997,1.3284719999999999,7.090439999999999,0.48386,0.003,0.05151,0.003
21,2455189.777,28.85782,1.322453,7.04433,0.379,0.019,0.0,0.016
22,2455458.033,28.251559999999998,1.6247719999999999,8.39553,-0.737,0.019,-0.419,0.019
23,2455567.701,28.94427,1.492342,7.50575,-0.488,0.021,-0.066,0.02
