,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2453687.65517,47.80992,9.602703,-4.36033,0.20792,0.00492,-0.14342,0.00992
1,2454040.36963,48.07421,9.654489,-4.73411,0.22596999999999998,0.0010199999999999999,-0.11307,0.0007099999999999999
2,2454042.56683,48.041,9.655431,-4.75425,-0.0931,0.0005,-0.22635,0.0005
3,2454044.36589,48.01205,9.656131,-4.7704699999999995,-0.25893,0.0005,-0.0056,0.00079
4,2454051.57904,47.89683,9.6582,-4.8326400000000005,-0.006940000000000001,0.00185,-0.24344000000000002,0.0005
5,2454056.08863,47.823440000000005,9.658897,-4.86897,-0.03718,0.00058,0.24113,0.0005
6,2454066.14628,47.65866,9.658772,-4.94169,0.05227999999999999,0.00085,0.24033000000000002,0.0005
7,2454080.33596,47.43215,9.654717,-5.0216400000000005,-0.0318,0.0005,-0.2441,0.0005
8,2454416.293,47.967729999999996,9.713658,-5.30853,-0.263,0.005,-0.024,0.005
9,2454439.78023,47.58532,9.712944,-5.47636,0.24288,0.0024100000000000002,0.07814,0.00418
10,2455250.73686,46.95438,9.752472000000001,-6.39611,0.26,0.025,0.052,0.025
11,2457117.88,47.30708,9.996253,-8.48206,-0.07854,0.001,0.22974,0.001
12,2459271.93,47.13250,10.379464,-11.60658,-0.2639,0.001,-0.00932,0.00229
