,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2452193.5397,44.37001,21.677808,-12.988719999999999,0.539,0.0051,-0.277,0.0052
1,2452194.57804,44.38485,21.677197,-12.99197,0.546,0.0081,-0.2675,0.0084
2,2452214.53207,44.69948,21.670125,-13.031189999999999,0.6244,0.0205,-0.2138,0.0238
3,2452215.51791,44.71611,21.670017,-13.03192,0.6444,0.0206,-0.1836,0.0264
4,2452216.51354,44.73297,21.669933,-13.03256,0.6417,0.0399,-0.1925,0.0387
5,2452217.53769,44.750370000000004,21.669869,-13.03308,0.6453,0.0209,-0.1383,0.0352
6,2452468.78078,44.13025,21.848886,-12.06242,-0.314,0.023,0.6921,0.0287
7,2452473.78974,44.0851,21.843942000000002,-12.08656,-0.3444,0.0684,0.6999,0.055
8,2452493.69012,43.97038,21.821710999999997,-12.19714,-0.4291,0.1338,0.8138,0.1311
9,2452525.7401400004,44.02352,21.783528,-12.39172,-0.6576,0.0905,0.6576,0.0905
10,2452935.5732,44.5371,21.8233,-12.136439999999999,-0.012,0.006,-0.527,0.005
11,2453150.8662099997,44.87885,22.022022,-11.05606,0.435,0.007,0.456,0.007
12,2453261.63555,44.074670000000005,21.929422,-11.518310000000001,-0.133,0.007,0.699,0.006
13,2453562.74493,44.23305,22.076506,-10.68347,-1.002,0.008,-0.044,0.008
14,2455177.71696,45.36822,22.273007999999997,-9.391860000000001,-1.02568,0.0077,0.10975,0.0053
15,2455411.92476,44.16142,22.427306,-8.43683,-0.00323,0.003,-0.50148,0.003
16,2455483.83037,44.40382,22.350425,-8.87872,0.46565,0.0037600000000000003,-0.33453,0.01728
17,2455516.2845900003,44.90193,22.337714000000002,-8.96283,0.60016,0.0075,-0.20134000000000002,0.0101
