,kboTIME,x,y,z
0,2452552.21941037,-4817588923.486512,4121874592.2564683,409807594.1667783
1,2452552.4694296964,-4817521253.445515,4121182269.2492967,409805133.23059756
2,2452552.719449101,-4817456193.437747,4120483439.0640955,409805736.5887871
3,2452552.9694689116,-4817380681.18968,4119780315.860949,409808446.46033645
4,2452553.2194887702,-4817297175.514451,4119084889.4472275,409808070.67968464
5,2452553.4695083494,-4817218721.667726,4118394868.4480476,409805611.747092
6,2452553.7195280106,-4817142753.0467205,4117698308.6747465,409806253.28243136
7,2452553.9695480764,-4817056251.168174,4116997630.1278763,409808948.2929448
8,2452554.2195681827,-4816961899.587568,4116304782.0406613,409808522.27118546
9,2452554.4695880087,-4816872698.9683075,4115617267.4438977,409806066.8370933
10,2452554.7196079204,-4816785859.4740505,4114923184.3180895,409806747.2424667
11,2452554.9696282353,-4816688410.245168,4114225157.6533933,409809427.58692735
12,2452555.2196485833,-4816583258.750648,4113535092.442267,409808952.54695964
13,2452555.469668649,-4816483357.16464,4112850286.7341747,409806502.53143984
14,2452555.7196888058,-4816385693.178396,4112158884.081762,409807222.8851342
15,2452555.9697093633,-4816277347.31695,4111463713.579367,409809889.1256662
16,2452556.2197299465,-4816161450.014497,4110776632.359317,409809366.6297567
17,2452556.469750247,-4816050901.026114,4110094734.204868,409806924.23598695
18,2452556.7197706415,-4815942466.357615,4109406211.6776576,409807685.8475418
19,2452556.9697914356,-4815823281.6326885,4108714097.0817075,409810338.75027937
20,2452557.2198122474,-4815696699.213026,4108030196.137768,409809770.5303173
21,2452557.4698327756,-4815575562.505226,4107351399.193742,409807338.0711415
22,2452557.7198534026,-4815456416.675398,4106665951.2979627,409808142.3079103
23,2452557.9698744263,-4815326456.144575,4105977087.062842,409810782.67266345
24,2452558.2198954606,-4815189254.106599,4105296557.3115153,409810170.4649893
25,2452558.4699162105,-4815057593.72106,4104621049.894408,409807750.20491904
26,2452558.7199370633,-4814927800.244949,4103938865.851369,409808598.34347767
27,2452558.9699583105,-4814787130.601659,4103253441.1794577,409811226.86620426
28,2452559.219979561,-4814639377.683246,4102576468.366267,409810572.2858898
29,2452559.470000526,-4814497260.550558,4101904433.789203,409808166.3277126
30,2452559.7200215985,-4814356885.577433,4101225697.989591,409809059.4533332
31,2452559.970043062,-4814205575.9067,4100543897.382414,409811676.63849014
32,2452560.2200645227,-4814047342.959883,4099870662.710764,409810981.1040777
33,2452560.4700856972,-4813894837.8956585,4099202279.9706154,409808591.3254574
34,2452560.7201069826,-4813743949.323428,4098527172.7010217,409809530.280027
35,2452560.9701286573,-4813582070.329046,4097849176.7095184,409812136.3988851
36,2452561.2201503213,-4813413429.653986,4097179857.6018934,409811401.0999625
37,2452561.470171699,-4813250606.793293,4096515302.1391478,409809029.12943864
38,2452561.7201931914,-4813089273.794744,4095844000.32945,409810014.495092
39,2452561.970215071,-4812916897.407293,4095169986.2811465,409812609.5758031
40,2452562.220236932,-4812737922.433469,4094504757.0809245,409811835.4683083
41,2452562.470258506,-4812564852.977316,4093844201.4511485,409809482.68519616
42,2452562.7202802,-4812393145.802756,4093176879.31146,409810514.7882671
43,2452562.9703022777,-4812210345.029059,4092507021.9113917,409813098.62283134
44,2452563.2203243296,-4812021110.204249,4091846054.448088,409812286.4380475
45,2452563.4703460946,-4811837866.342128,4091189668.8514304,409809953.98316246
46,2452563.7203679834,-4811655856.268692,4090526498.365757,409811032.9064768
47,2452563.9703902532,-4811462705.1611185,4089860970.156278,409813605.0638861
48,2452564.2204124904,-4811263285.936166,4089204434.1745987,409812755.321711
49,2452564.47043444,-4811069940.843084,4088552386.856167,409810444.1107576
50,2452564.7204565173,-4810877700.180068,4087893538.155877,409811569.7073137
51,2452564.970478973,-4810674273.846181,4087232509.8662806,409814129.5471034
52,2452565.220501389,-4810464746.686985,4086580573.355759,409813242.56893325
53,2452565.470523517,-4810261374.537086,4085933030.9178753,409810953.30491334
54,2452565.720545777,-4810058976.639476,4085278672.5783353,409812125.2102588
55,2452565.970568413,-4809845351.253553,4084622313.4089446,409814671.8945709
56,2452566.220591001,-4809625793.650596,4083975142.8790045,409813747.8146169
57,2452566.470613302,-4809412469.625708,4083332270.5491242,409811480.99877393
58,2452566.7206357387,-4809199988.901447,4082682569.8516674,409812698.64212376
59,2452566.9706585477,-4808976241.709872,4082031047.7322006,409815231.1468153
60,2452567.2206813027,-4808746732.182951,4081388808.469478,409814269.9228309
61,2452567.47070377,-4808523532.478505,4080750770.35752,409812025.86535954
62,2452567.7207263773,-4808301044.39619,4080105893.547011,409813288.4809237
63,2452567.9707493535,-4808067253.726886,4079459375.3956423,409815805.6073958
64,2452568.2207722687,-4807827871.837812,4078822231.7262297,409814807.03258145
65,2452568.4707948966,-4807594873.681112,4078189191.090041,409812585.86495906
66,2452568.7208176684,-4807362454.794424,4077549303.6428432,409813892.5053381
67,2452568.9708408057,-4807118700.087491,4076907955.637156,409816392.8948559
68,2452569.2208638745,-4806869526.478434,4076276071.201302,409815356.6126657
69,2452569.4708866565,-4806626808.176628,4075648190.724423,409813158.30322546
70,2452569.7209095866,-4806384536.18232,4075013457.627895,409814507.85632795
71,2452569.970932879,-4806130898.057664,4074377445.4860044,409816990.0081298
72,2452570.220956096,-4805872014.529482,4073750983.5211997,409815915.531076
73,2452570.470979026,-4805619655.560079,4073128425.5967655,409813739.90471077
74,2452570.721002108,-4805367609.400437,4072499011.6324606,409815131.1148815
75,2452570.9710255493,-4805104169.771365,4071868500.895349,409817593.408545
76,2452571.2210489074,-4804835659.408882,4071247624.5180483,409816480.14126587
77,2452571.4710719795,-4804573740.557674,4070630551.5288873,409814326.90335244
78,2452571.7210952076,-4804312000.570441,4070006621.549621,409815758.39663154
79,2452571.9711187906,-4804038842.804327,4069381777.855355,409818199.1184752
80,2452572.2211422846,-4803760790.148042,4068766650.332995,409817046.3847748
81,2452572.471165492,-4803489393.692638,4068155224.920826,409814915.14894897
82,2452572.7211888595,-4803218041.80561,4067536944.1161985,409816385.46204835
83,2452572.971212579,-4802935250.928341,4066917933.4624133,409818802.8351862
84,2452573.2212362015,-4802647742.189174,4066308718.4741364,409817609.90867925
85,2452573.4712595385,-4802366952.125135,4065703103.798422,409815500.2282156
86,2452573.721283039,-4802086072.0933695,4065090637.95137,409817007.8411176
87,2452573.971306888,-4801793735.036995,4064477626.950704,409819400.05922127
88,2452574.2213306325,-4801496858.355542,4063874488.8433037,409818166.1979139
89,2452574.471354093,-4801206760.669203,4063274848.8378444,409816077.6013263
90,2452574.72137772,-4800916438.362034,4062668364.58161,409817620.9744272
91,2452574.9714016914,-4800614644.266466,4062061520.7202063,409819986.2404506
92,2452575.2214255524,-4800308490.031808,4061464624.76954,409818710.72684914
93,2452575.471449129,-4800009173.03936,4060871124.406471,409816642.7596852
94,2452575.7214728766,-4799709496.801688,4060270789.490199,409818220.377829
95,2452575.971496964,-4799398337.400017,4059670281.395167,409820556.9503832
96,2452576.221520934,-4799082998.662856,4059079794.0756283,409819239.14015085
97,2452576.4715446206,-4798774553.455725,4058492599.634936,409817191.4163193
98,2452576.7215684815,-4798465614.5886345,4057898583.1903863,409818801.84329414
99,2452576.971592678,-4798145184.725858,4057304580.891643,409821108.0944311
100,2452577.2216167506,-4797820757.759764,4056720670.1306853,409819747.4774405
101,2452577.4716405403,-4797503278.813151,4056139949.442618,409817719.7438231
102,2452577.7216645083,-4797185172.232891,4055552422.2082047,409819361.6909147
103,2452577.9716888075,-4796855570.577536,4054965097.338489,409821636.17854524
104,2452578.221712975,-4796522155.646565,4054387932.686413,409820232.45492905
105,2452578.471736861,-4796195741.646145,4053813855.262114,409818224.6712061
106,2452578.721760928,-4795868566.770174,4053232989.6641035,409819897.0807479
107,2452578.9717853228,-4795529896.758591,4052652515.481146,409822138.63525754
108,2452579.221809578,-4795187599.118913,4052082268.064139,409820691.80445945
109,2452579.471833553,-4794852354.017285,4051515004.9672146,409818704.2342472
110,2452579.7218577135,-4794516215.869479,4050940974.8967533,409820406.3721326
111,2452579.9718821957,-4794168586.85126,4050367525.9542537,409822614.1888218
112,2452580.221906532,-4793817517.927548,4049804368.0283666,409821124.64053065
113,2452580.4719305886,-4793473552.140054,4049244091.3001156,409819157.9398535
114,2452580.7219548337,-4793128562.550153,4048677071.3989773,409820889.48013735
115,2452580.971979396,-4792772090.972782,4048110822.685376,409823063.19765574
116,2452581.222003806,-4792412369.509022,4047554926.623509,409821531.78191715
117,2452581.4720279365,-4792059801.0098,4047001808.114851,409819587.0596011
118,2452581.722052259,-4791706079.630621,4046441972.4522443,409821348.13356376
119,2452581.972076894,-4791340889.952773,4045883097.9176784,409823487.86910886
120,2452582.2221013685,-4790972642.797934,4045334634.596435,409821915.9153929
121,2452582.472125566,-4790611597.7549925,4044788844.227605,409819994.7350077
122,2452582.7221499574,-4790249272.523991,4044236364.4500613,409821785.91521335
123,2452582.9721746566,-4789875497.482951,4043685035.0693283,409823892.22918534
124,2452583.222199189,-4789498859.648669,4043144171.871952,409822281.4904268
125,2452583.472223445,-4789129472.260742,4042605875.604447,409820385.7941343
126,2452583.7222478976,-4788758679.008325,4042060918.908142,409822207.9992901
127,2452583.972272653,-4788376458.997473,4041517300.6874022,409824281.7817425
128,2452584.222297235,-4787991572.809798,4040984199.579301,409822634.3030756
129,2452584.472321541,-4787613984.243634,4040453557.592474,409820766.26489395
130,2452584.7223460474,-4787234865.431368,4039916285.0309978,409822620.6008159
131,2452584.972370851,-4786844347.059539,4039380537.474981,409824662.9026751
132,2452585.222395474,-4786451360.565855,4038855353.654467,409822980.8451465
133,2452585.4724198226,-4786065717.240763,4038332519.197464,409821142.69033456
134,2452585.722444374,-4785678420.154403,4037803084.747065,409823030.2687683
135,2452585.9724692176,-4785279754.379258,4037275360.145516,409825042.1231301
136,2452586.222493874,-4784878819.455567,4036758241.553489,409823327.58983546
137,2452586.472518257,-4784485271.157327,4036243360.67304,409821521.42843896
138,2452586.722542846,-4784089946.056247,4035721911.168366,409823443.21060604
139,2452586.9725677217,-4783683286.395171,4035202354.726763,409825425.48816824
140,2452587.222592403,-4783274557.042386,4034693442.355884,409823680.392753
141,2452587.472616813,-4782873255.325002,4034186654.3630157,409821908.1021478
142,2452587.7226414317,-4782470053.9636345,4033673330.0985103,409823864.7960713
143,2452587.972666331,-4782055555.144594,4033162080.6521163,409825818.1173474
