,kboTIME,x,y,z
0,2452193.0272105173,5308571226.063628,-3982294998.9036226,100738819.77363993
1,2452194.06537931,5309676767.550071,-3984511049.268294,100755761.13806178
2,2452214.015778768,5339367510.557428,-4023180117.0626264,101079531.5498383
3,2452215.001426866,5341222919.646499,-4024845027.041544,101095642.50811768
4,2452215.9968622546,5343131127.141136,-4026498446.9664454,101111904.36694837
5,2452217.0208112705,5345130093.442305,-4028169128.8537602,101128568.65655853
6,2452468.27102408,5459494159.202185,-3710787769.127748,105198388.95284057
7,2452473.2805074933,5448934694.912578,-3714208889.9773183,105279261.99589087
8,2452493.18222054,5412266679.313454,-3736944405.021339,105600812.92230654
9,2452525.2316403054,5379516181.84124,-3797117872.8918643,106118478.53233647
10,2452935.0587928845,5483830110.264517,-3780815599.4059024,112702763.22246361
11,2453150.347800442,5725686125.540591,-3504911634.696555,116132959.42516734
12,2453261.1264620703,5534419883.783761,-3581205912.3093214,117893104.07888508
13,2453562.2339772983,5695832968.196588,-3366710757.4799232,122645880.6497438
14,2455177.1929398472,6022425132.821106,-3124457116.9152923,147463605.3172126
15,2455411.414643827,5989228021.224289,-2784667995.361227,150961529.78620583
16,2455483.317488978,5960155371.616558,-2927608213.949341,152034049.5301635
17,2455515.7659623483,6016043102.6173315,-2982350968.811876,152519325.2434007
