,kboTIME,x,y,z
0,2453953.239612786,3432333560.835839,5877980245.696726,514160060.6360142
1,2453953.489635761,3431803540.645447,5877598388.988557,514163004.71432734
2,2453953.7396589904,3431266143.552146,5877213106.762149,514166603.67348987
3,2453953.989682486,3430732275.2194676,5876817437.005879,514173871.96290374
4,2453954.2397057796,3430209489.7529488,5876421414.127994,514180456.5922165
5,2453954.489728864,3429686831.0365043,5876031929.259608,514183380.54646397
6,2453954.739752205,3429156853.629463,5875638904.085365,514187022.4038695
7,2453954.9897758067,3428630592.036197,5875235549.452153,514194321.4840917
8,2453955.239799201,3428115411.067766,5874832017.288965,514200873.87873065
9,2453955.489822388,3427600227.0942764,5874435024.575263,514203778.0886442
10,2453955.739845835,3427077784.808178,5874034376.672484,514207462.90821385
11,2453955.989869537,3426559244.380659,5873623459.2649,514214791.65631914
12,2453956.239893026,3426051779.24678,5873212538.776199,514221310.8077858
13,2453956.4899163106,3425544181.645676,5872808156.034652,514224195.2362054
14,2453956.7399398573,3425029388.6565676,5872400003.094732,514227922.64225537
15,2453956.989963653,3424518682.924426,5871981642.446813,514235279.49963367
16,2453957.239987231,3424019044.496353,5871563451.994966,514241763.987256
17,2453957.490010607,3423519144.9067674,5871151794.517064,514244628.1901864
18,2453957.7400342473,3423012115.818208,5870736251.860214,514248397.3948665
19,2453957.9900581315,3422509359.1128354,5870310565.287983,514255780.412558
20,2453958.240081792,3422017659.480367,5869885221.188239,514262228.4667058
21,2453958.4901052536,3421525571.1903467,5869466402.490821,514265071.6743724
22,2453958.7401289823,3421026422.598399,5869043584.012914,514268881.576459
23,2453958.9901529485,3420531731.5163493,5868610687.746721,514276288.5305839
24,2453959.240176686,3420048085.3234143,5868178305.571699,514282698.16260415
25,2453959.4902002276,3419563924.45243,5867752438.855383,514285519.4221032
26,2453959.740224038,3419072775.9538465,5867322458.616969,514289368.76092225
27,2453959.9902480803,3418586270.175165,5866882469.494712,514296797.31544805
28,2453960.240271889,3418110795.2368984,5866443165.844519,514303166.48585606
29,2453960.490295504,3417634681.1437697,5866010365.811849,514305964.83188254
30,2453960.7403193903,3417151655.532446,5865573339.873838,514309852.35869914
31,2453960.9903435027,3416673457.8097935,5865126377.16472,514317300.23514986
32,2453961.2403673767,3416206274.902645,5864680271.452019,514323627.01836544
33,2453961.4903910593,3415738329.787561,5864240656.029117,514326401.6303775
34,2453961.740415015,3415263552.483292,5863796704.088201,514330326.25684553
35,2453961.990439191,3414793787.916534,5863342891.022842,514337791.3729241
36,2453962.240463123,3414335019.9193044,5862890106.883511,514344074.08413625
37,2453962.490486867,3413875367.851537,5862443798.50065,514346824.4000597
38,2453962.7405108856,3413408965.835463,5861993045.031728,514350785.2988197
39,2453962.990535119,3412947760.7370944,5861532509.802455,514358265.8562577
40,2453963.240559103,3412497531.4474254,5861073175.954236,514364503.1261525
41,2453963.4905829015,3412046297.1510205,5860620302.265887,514367228.9037739
42,2453963.740606977,3411588397.7372036,5860162877.10767,514371225.55746984
43,2453963.9906312604,3411135878.4062767,5859695753.326213,514378720.0799067
