Object,Period P (days),P_err,a,a_err,e,e_err,mass_tot,mass_tot_err
"1998 SM165",130.154,0.003,11374,8,0.4732,0.0006,6.88,0.02
"2002 CR46",18.982,0.001,1580,20,0.507,0.009,0.87,0.03
"2002 LM60",12.431,0.001,13330,90,0.021,0.006,1210,30
"2002 UX25",8.3095,0.0001,4750,40,0.18,0.02,123,3
"1997 CQ29",309.9,0.2,8220,40,0.546,0.008,0.458,0.007
"2000 CM114",24.825,0.001,2500,30,0.03,0.01,2,0.06
"2003 FX128",9.56,0.001,1850,40,0.008,0.008,5.5,0.3
"1999 RZ253",46.289,0.002,4530,10,0.47,0.002,3.44,0.03
"1997 CS29",12.51006,0.00002,2770,10,0.026,0.006,10.8,0.2
"2000 CM105",35.31,0.002,2300,40,0.02,0.01,0.77,0.04
"2001 QT297",828.8,0.2,27600,100,0.249,0.002,2.43,0.03
"2004 DW",9.53915,0.00002,9000,9,0.0009,0.0005,635,2
"2002 WC19",8.403,0.001,4090,90,0.2,0.05,77,5
"2004 SB60",5.49388,0.00002,5720,30,0.01,0.004,492,7
"2000 WK183",30.913,0.006,2370,30,0.014,0.008,1.1,0.04
"2000 OJ67",22.0585,0.0008,2270,40,0.012,0.006,1.9,0.09
"2003 UB313",15.7859,0.00003,37270,50,0.0062,0.0009,16470,70
"2001 UQ18",139.62,0.01,9960,30,0.349,0.003,4.02,0.04
"2000 OL67",347.1,0.4,7800,500,0.24,0.04,0.32,0.08
"2002 PD149",1675,3,26800,300,0.588,0.008,0.54,0.02
"2003 MW12",5.7506,0.0001,4810,40,0.022,0.008,266,6
"2007 OR10",25.222,0.002,24100,300,0.29,0.01,1750,70
"2007 UK126",11.3147,0.0002,6040,50,0.024,0.007,136,3
"2001 QY297",138.118,0.006,9960,30,0.418,0.002,4.1,0.04
"2005 PR21",45.91,0.03,3390,90,0.16,0.03,1.5,0.1
"2007 TY430",972.2,0.5,20990,80,0.1494,0.0007,0.78,0.01
"2006 JZ81",1483,9,34000,2000,0.85,0.01,1.4,0.3
"2003 QW111",110.18,0.02,6670,40,0.563,0.007,1.94,0.04
"2003 QA91",10.1089,0.0003,1590,40,0.02,0.02,3.1,0.3
"2005 EF298",128.11,0.03,7700,100,0.69,0.01,2.2,0.1
"2000 CQ114",220.48,0.04,6940,30,0.095,0.005,0.545,0.008
"2002 VT130",30.761,0.006,3030,90,0.019,0.008,2.3,0.2
"2001 XR254",125.58,0.05,9310,50,0.556,0.005,4.06,0.07
"2002 XH91",371.1,0.2,22400,400,0.71,0.02,6.5,0.4
"2005 EO304",3541,3,69700,200,0.216,0.001,2.14,0.02
"1998 WW31",587.3,0.2,22620,40,0.819,0.002,2.66,0.01
"1999 OJ4",84.115,0.005,3310,20,0.368,0.004,0.405,0.006
"1999 RT214",126.5,0.05,3400,70,0.3,0.03,0.19,0.01
"2000 CF105",3960,10,33500,100,0.304,0.008,0.189,0.003
"2000 QL251",56.449,0.004,4990,20,0.489,0.004,3.09,0.03
"2001 QC298",19.2287,0.0001,3810,10,0.334,0.002,11.9,0.1
"2001 QW322",6590,10,103500,300,0.458,0.002,2.03,0.02
"2003 QY90",309.6,0.2,8550,100,0.663,0.009,0.52,0.02
"2003 TJ58",137.68,0.03,3830,50,0.516,0.008,0.236,0.009
"2003 UN284",3070,10,54000,1000,0.38,0.02,1.3,0.09
"2004 PB108",97.02,0.008,10400,80,0.438,0.003,9.5,0.2
"2006 BR284",1501,1,25500,100,0.275,0.002,0.58,0.007
"2006 CH69",1422,2,31600,600,0.918,0.002,1.24,0.07
