,Unnamed: 0,kboTIME,x,y,z
0,0,2452214.1073334925,-3378412209.2289305,5552568605.893391,19276097.673228264
1,1,2452214.3573579984,-3378084875.085889,5552024770.1159115,19269668.692711603
2,2,2452214.6073825504,-3377762132.978852,5551476737.160015,19265818.78212571
3,3,2452214.8574074227,-3377430709.5832376,5550924271.692155,19264651.79265046
4,4,2452215.1074322173,-3377090403.290767,5550379568.286677,19260884.608635668
5,5,2452215.3574566627,-3376754503.1183767,5549842775.644988,19254458.725905184
6,6,2452215.6074811583,-3376423110.3438945,5549301716.151363,19250657.660230394
7,7,2452215.857505971,-3376082949.059668,5548756364.071997,19249494.36194157
8,8,2452216.107530699,-3375734046.16808,5548218915.467877,19245685.089719065
9,9,2452216.3575550774,-3375389691.3547373,5547689309.398293,19239262.218264345
10,10,2452216.6075795097,-3375049757.439866,5547155368.55419,19235509.080337286
11,11,2452216.8576042564,-3374700969.880593,5546617276.851003,19234347.72247552
12,12,2452217.1076289103,-3374343584.104944,5546087228.26908,19230495.343364473
13,13,2452217.357653214,-3373990886.560782,5545564952.28461,19224075.19041944
14,14,2452217.607677576,-3373642521.677595,5545038275.538215,19220368.85295797
15,15,2452217.8577022487,-3373285220.2378945,5544507591.578093,19219207.498954307
16,16,2452218.1077268217,-3372919466.155575,5543985088.731975,19215310.83326626
17,17,2452218.3577510444,-3372558538.7479053,5543470287.00772,19208892.943945646
18,18,2452218.6077753287,-3372201854.200293,5542951020.63036,19205232.118446346
19,19,2452218.8577999207,-3371836152.591287,5542427892.694053,19204068.69959737
20,20,2452219.107824406,-3371462146.2242546,5541913082.294257,19200126.464489937
21,21,2452219.35784854,-3371093103.405535,5541405900.13713,19193710.283474445
22,22,2452219.60787274,-3370728212.300414,5540894191.653815,19190093.585861206
23,23,2452219.857897244,-3370354226.260346,5540378769.324241,19188925.97079301
24,24,2452220.107921633,-3369972085.8224363,5539871799.4223795,19184936.852981087
25,25,2452220.357945672,-3369595044.412539,5539372383.568307,19178521.80012823
26,26,2452220.6079697795,-3369222062.47406,5538868382.004454,19174947.829241272
27,27,2452220.8579941886,-3368839910.610405,5538360816.360642,19173773.905063868
28,28,2452221.108018475,-3368449757.374408,5537861836.4896145,19169736.64412618
29,29,2452221.35804241,-3368064837.450867,5537370335.187924,19163322.19961239
30,30,2452221.6080664187,-3367683883.930901,5536874191.094713,19159789.624154087
31,31,2452221.8580907243,-3367293688.646921,5536374634.676179,19158607.384905104
32,32,2452222.1081149005,-3366895647.8841553,5535883795.752646,19154520.862699028
33,33,2452222.358138725,-3366502973.732725,5535400358.604532,19148106.65719056
34,34,2452222.608162626,-3366114172.368959,5534912223.8299675,19144614.306556698
35,35,2452222.8581868224,-3365716060.824421,5534420830.338063,19143421.944212437
36,36,2452223.1082108803,-3365310262.7640853,5533938284.292964,19139285.275409944
