,kboTIME,x,y,z
0,2452265.833792194,5034897815.798873,1310685959.82286,-283210667.7799404
1,2452271.711053316,5050182416.698624,1314522178.2006044,-283880874.9810782
2,2452821.0338165676,5001190799.5630045,1870300912.084599,-346168569.60143864
3,2452830.170846796,4978430245.000503,1869435046.8702767,-347197512.62929255
4,2452846.113751596,4941543459.698401,1859903369.538744,-348994978.95096916
5,2452875.0572305447,4890974692.965695,1820433234.5564337,-352256136.2631416
6,2453032.7388617285,5107725829.257003,1702377018.6094768,-369990870.02608305
7,2453922.2308869096,4940475832.84638,2376135201.2754703,-468888469.20020545
8,2455206.897913467,4927203795.778199,2663972299.5223846,-607711959.1967202
9,2455517.175419722,4759106395.385573,2817207050.5277786,-640444103.202169
