,Unnamed: 0,kboTIME,x,y,z
0,0,2452103.1258186875,3869893351.171228,5933509857.342257,17606497.005501278
1,1,2452131.0190249286,3803974840.890307,5900431059.070308,16398674.321071155
2,2,2452162.915392922,3758767928.648873,5835952407.986985,15018073.476947313
3,3,2452273.7207676573,3896640215.6461883,5684167339.555048,10222163.392709494
4,4,2452293.7559346417,3940175821.21839,5705557774.343944,9354226.05852914
5,5,2452329.4591202918,3992532014.111841,5780344229.572586,7807193.477794171
6,6,2452468.314341105,3764245568.233164,6015100998.568172,1794068.682151795
7,7,2452500.298418224,3690261880.774774,5974871184.512222,408708.0755262376
8,8,2452530.9500992405,3650689085.210649,5910688863.236728,-918947.1137480736
9,9,2452561.7258896595,3650857350.0652256,5839821626.78441,-2253160.638427734
10,10,2452591.296554999,3687319056.914705,5785398063.8447075,-3534051.754127026
11,11,2452621.9279243103,3750732681.02015,5760588776.3132715,-4857407.635347366
12,12,2452654.080437853,3823518683.84549,5779007754.928555,-6251902.303646803
13,13,2452683.640868075,3874321725.2875314,5833268236.0564575,-7529721.078484536
14,14,2456234.7526084376,2542613247.949339,6479941442.050182,-160371718.52680492
15,15,2456590.6316086086,2411330374.2240148,6552735422.730651,-175461161.8585505
