,kboTIME,x,y,z
0,2452222.4002977,5156227817.282274,-3254866918.3339734,-54324445.07863475
1,2452222.650273047,5156759778.001724,-3255220521.368284,-54324164.023960836
2,2452222.900248021,5157301931.989968,-3255576136.839246,-54322122.09346675
3,2452223.1502229855,5157850410.523227,-3255922094.0043726,-54323374.43864705
4,2452223.4001982836,5158392512.370549,-3256261974.546686,-54326362.06035853
5,2452223.650173547,5158932198.640771,-3256607399.252933,-54326043.29857779
6,2452223.900148439,5159482119.436101,-3256954667.347819,-54324020.58899235
7,2452224.1501233308,5160038187.578754,-3257292170.748411,-54325321.86963891
8,2452224.4000985567,5160587770.64404,-3257623690.968781,-54328301.50660824
9,2452224.6500737444,5161135046.769802,-3257960784.499669,-54327945.75157333
10,2452224.9000485623,5161692594.534549,-3258299551.407681,-54325943.38560033
11,2452225.150023388,5162256109.481025,-3258628449.7788157,-54327293.64178371
12,2452225.39999855,5162813031.699562,-3258951459.918448,-54330264.736881495
13,2452225.649973669,5163367755.097927,-3259280070.6847587,-54329872.31696844
14,2452225.8999484214,5163932782.993375,-3259610184.2255425,-54327891.006858364
15,2452226.1499231895,5164503594.914899,-3259930328.298141,-54329289.85378076
16,2452226.399898295,5165067707.184178,-3260244680.9107203,-54332251.43835329
17,2452226.6498733535,5165629728.186784,-3260564659.9795327,-54331822.27822067
18,2452226.899848048,5166202082.295444,-3260885971.035199,-54329862.31834579
19,2452227.149822766,5166780034.387889,-3261197214.9881954,-54331308.9509263
20,2452227.3997978233,5167351180.74427,-3261502766.3984785,-54334259.66147542
21,2452227.64977283,5167920342.905602,-3261813968.944097,-54333793.31027557
22,2452227.8997474746,5168499862.672443,-3262126332.88655,-54331854.61704802
23,2452228.1497221515,5169084791.728068,-3262428535.7339044,-54333347.86206961
24,2452228.3996971683,5169662810.043579,-3262725147.3691263,-54336286.004042394
25,2452228.6496721306,5170238950.956514,-3263027433.934609,-54335781.709453344
26,2452228.899646734,5170825470.115369,-3263330711.802654,-54333863.904807344
27,2452229.1496213772,5171417207.54868,-3263623738.4724135,-54335402.31348705
28,2452229.399596362,5172001930.642388,-3263911277.8326936,-54338325.96173526
29,2452229.6495712884,5172584883.121124,-3264204515.183545,-54337782.77634836
30,2452229.899545859,5173178230.934823,-3264498574.4127545,-54335885.29854966
31,2452230.149520477,5173776604.063449,-3264782296.3478403,-54337467.26086044
32,2452230.3994954377,5174367861.005559,-3265060637.476483,-54340374.3760686
33,2452230.6494703363,5174957454.397036,-3265344698.9421406,-54339791.273929596
34,2452230.899444882,5175557456.961646,-3265629413.5800786,-54337913.49274469
35,2452231.1494194833,5176162290.288276,-3265903708.831358,-54339537.350296974
