,Unnamed: 0,kboTIME,x,y,z
0,0,2453698.3955662227,2038805972.2437305,5939385813.462195,-200510886.05474532
1,1,2453698.6455702293,2039283712.2777886,5939112033.3076315,-200510831.51008058
2,2,2453698.89557408,2039771939.196379,5938838878.157516,-200509969.28918192
3,3,2453699.1455774843,2040263500.1836839,5938576631.492485,-200512750.97051463
4,4,2453699.395580827,2040747215.8400407,5938318705.717812,-200516310.3196389
5,5,2453699.645584395,2041230313.5872602,5938054887.46291,-200516220.30037552
6,6,2453699.895587802,2041723888.995217,5937791865.550511,-200515385.1108032
7,7,2453700.1455907626,2042220597.4226642,5937539809.1350565,-200518206.68934423
8,8,2453700.395593667,2042709384.563809,5937291955.173282,-200521742.85402867
9,9,2453700.6455967952,2043197668.107833,5937038205.852038,-200521616.8474248
10,10,2453700.895599756,2043696416.4053226,5936785424.164588,-200520808.36789083
11,11,2453701.1456022714,2044198095.1453328,5936543661.918542,-200523668.4113353
12,12,2453701.3956047352,2044691778.3678887,5936305982.609602,-200527179.7204185
13,13,2453701.645607422,2045185071.8143327,5936062406.954308,-200527017.1133444
14,14,2453701.8956099357,2045688813.3490386,5935819970.068367,-200526234.90758517
15,15,2453702.145612004,2046195281.1985452,5935588603.418571,-200529131.86946517
16,16,2453702.395614026,2046693680.958848,5935361199.069033,-200532616.56116295
17,17,2453702.64561627,2047191804.149704,5935127899.192519,-200532416.6592696
18,18,2453702.895618334,2047700354.9191,5934895908.916398,-200531660.1984195
19,19,2453703.145619954,2048211426.293143,5934675036.395518,-200534592.4446592
20,20,2453703.395621534,2048714358.596097,5934458004.329008,-200538048.6973776
21,21,2453703.6456233338,2049217126.8002055,5934235079.221987,-200537810.76011032
22,22,2453703.8956249473,2049730298.151084,5934013634.037215,-200537079.46269065
23,23,2453704.145626118,2050245782.7980196,5933803350.667554,-200540045.31743985
24,24,2453704.395627254,2050753058.9350128,5933596784.54852,-200543471.3014242
25,25,2453704.6456286083,2051260282.618016,5933384329.34175,-200543194.59914443
26,26,2453704.89562977,2051777881.058554,5933173523.604637,-200542487.89410543
27,27,2453705.145630491,2052297583.9230509,5932973920.041485,-200545485.70931908
28,28,2453705.3956311825,2052809010.3947399,5932777908.962774,-200548879.6623636
29,29,2453705.6456320905,2053320495.2120113,5932576013.962687,-200548563.55737743
30,30,2453705.8956327997,2053842322.4852378,5932375936.894775,-200547880.97031423
31,31,2453706.14563307,2054366043.870602,5932187098.38019,-200550909.2172013
32,32,2453706.395633316,2054881422.6452231,5932001725.78892,-200554269.5405
33,33,2453706.6456337767,2055396969.80385,5931810475.38561,-200553913.58589315
34,34,2453706.895634034,2055922823.3599038,5931621209.976628,-200553254.83998537
35,35,2453707.145633853,2056450359.513897,5931443215.251597,-200556312.21151015
36,36,2453707.3956336533,2056969488.7277145,5931268557.884044,-200559637.57242408
37,37,2453707.6456336672,2057488895.802218,5931088029.522955,-200559241.61328623
38,38,2453707.8956334717,2058018569.7279906,5930909651.5552225,-200558606.7276497
39,39,2453708.145632839,2058549713.880975,5930742571.952604,-200561692.23300985
40,40,2453708.3956321944,2059072388.977085,5930578699.009311,-200564981.65423912
41,41,2453708.6456317613,2059595451.1404765,5930408962.4611225,-200564545.9098904
42,42,2453708.8956311126,2060128737.4725173,5930241539.887224,-200563935.27360037
43,43,2453709.145630029,2060663281.218375,5930085438.828493,-200567048.3030894
44,44,2453709.39562894,2061189296.3801892,5929932411.597637,-200570301.2173701
45,45,2453709.64562806,2061715807.875084,5929773528.713597,-200569826.32493407
46,46,2453709.895626959,2062252498.0927856,5929617121.548219,-200569240.72890058
47,47,2453710.1456254255,2062790232.886731,5929472054.574016,-200572381.0737397
48,48,2453710.395623891,2063319382.522993,5929329926.598837,-200575597.3313387
49,49,2453710.6456225654,2063849138.1185288,5929181951.610525,-200575084.3408999
50,50,2453710.895621013,2064389024.5588477,5929036612.357604,-200574524.96109384
51,51,2453711.14561903,2064929743.0754774,5928902627.675667,-200577692.78518677
52,52,2453711.395617053,2065461823.108505,5928771445.413175,-200580872.6144905
53,53,2453711.645615282,2065994619.3092015,5928634425.690527,-200580322.93922013
54,54,2453711.895613279,2066537496.28845,5928500200.189865,-200579791.27764007
55,55,2453712.145610848,2067080993.4488847,5928377339.599058,-200582987.05036885
56,56,2453712.395608428,2067615802.2415829,5928257143.408357,-200586130.98296556
57,57,2453712.6456062132,2068151438.1122613,5928131120.499299,-200585546.31747267
58,58,2453712.895603761,2068697102.6483672,5928008049.006377,-200585044.11536258
59,59,2453713.1456008833,2069243176.2393086,5927896349.006055,-200588268.52080828
60,60,2453713.395598022,2069780515.1118734,5927787174.276189,-200591377.29710168
61,61,2453713.6455953643,2070318792.6953852,5927672185.042541,-200590759.5200757
62,62,2453713.895592464,2070867044.831005,5927560303.364413,-200590288.65904912
63,63,2453714.14558914,2071415495.7365263,5927459796.283464,-200593542.49671075
64,64,2453714.39558584,2071955169.1106036,5927361674.5482025,-200596616.96624044
65,65,2453714.64558274,2072495893.4900985,5927257752.259863,-200595968.04056984
66,66,2453714.895579393,2073046536.2786093,5927157092.824595,-200595530.4436958
67,67,2453715.1455756254,2073597168.3937867,5927067807.862661,-200598814.5314353
68,68,2453715.395571887,2074138983.637734,5926980767.80947,-200601855.55748588
69,69,2453715.645568347,2074681962.718829,5926887943.117684,-200601177.43636188
70,70,2453715.8955645547,2075234801.9484203,5926798535.910189,-200600774.9765781
71,71,2453716.1455603447,2075787421.848552,5926720500.034666,-200604090.06216428
72,72,2453716.3955561696,2076331188.8946395,5926644568.3604145,-200607098.4361913
73,73,2453716.645552191,2076876232.9749568,5926562870.109839,-200606392.98004365
74,74,2453716.895547955,2077431076.6946964,5926484743.439504,-200606027.40023395
75,75,2453717.1455433043,2077985493.1202426,5926417982.107906,-200609374.0853372
76,76,2453717.3955386938,2078531023.9108448,5926353184.193629,-200612350.45468923
77,77,2453717.645534278,2079077945.0915024,5926282640.047465,-200611619.3622613
78,78,2453717.8955296003,2079634602.9921129,5926215821.12301,-200611292.21021387
79,79,2453718.1455245097,2080190626.2011962,5926160358.806678,-200614670.88992888
80,80,2453718.3955194657,2080737734.0157843,5926106719.188007,-200617615.70183808
81,81,2453718.645514614,2081286345.5074327,5926047356.043306,-200616860.45838737
82,82,2453718.895509495,2081844628.2109308,5925991871.332762,-200616573.03954625
83,83,2453719.1455039675,2082402069.2558215,5925947731.821313,-200619983.8602641
84,84,2453719.395498492,2082950567.977799,5925905274.4360285,-200622897.32481813
85,85,2453719.6454932056,2083500683.3629766,5925857118.6135,-200622119.16985348
86,86,2453719.8954876475,2084060401.6858609,5925812993.977268,-200621872.52003303
87,87,2453720.1454816842,2084619071.6807718,5925780200.456268,-200625315.3575134
88,88,2453720.3954757783,2085168775.0735886,5925748948.666814,-200628197.43091968
89,89,2453720.645470059,2085720207.5965414,5925712025.878986,-200627397.34629515
90,90,2453720.895464063,2086281171.8585148,5925679286.486607,-200627192.2246425
91,91,2453721.1454576654,2086840881.310368,5925657861.406213,-200630666.6819647
92,92,2453721.395451331,2087391602.3734934,5925637837.822149,-200633517.06908202
93,93,2453721.645445181,2087944164.3258696,5925612172.952321,-200632695.7856761
94,94,2453721.895438749,2088506183.7689848,5925590843.02264,-200632532.68546775
95,95,2453722.145431919,2089066742.031718,5925580807.803621,-200636038.1077409
96,96,2453722.3954251576,2089618292.4915886,5925572033.956863,-200638856.28014067
97,97,2453722.6454185783,2090171794.7425942,5925557650.707318,-200638014.29879165
98,98,2453722.8954117126,2090734677.102353,5925547753.135124,-200637893.47109607
99,99,2453723.1454044515,2091295891.9885511,5925549127.779118,-200641428.97159964
100,100,2453723.3953972654,2091848081.950065,5925551623.721426,-200644214.19548863
101,101,2453723.645390258,2092402333.6382003,5925548544.201858,-200643351.81617355
102,102,2453723.89538296,2092965884.8751988,5925550100.142293,-200643273.3002408
103,103,2453724.145375271,2093527562.4252024,5925562902.816918,-200646837.79176947
104,104,2453724.395367661,2094080200.1756754,5925576686.7084465,-200649589.1595679
105,105,2453724.645360228,2094635008.5462453,5925584931.03059,-200648706.51275232
106,106,2453724.8953525,2095199032.715299,5925597959.503772,-200648670.16723543
107,107,2453725.145344384,2095760977.094024,5925622206.160424,-200652262.39305505
108,108,2453725.395336353,2096313869.024001,5925647293.901937,-200654978.8534073
109,109,2453725.645328496,2096869039.3716679,5925666879.827382,-200654075.92876542
110,110,2453725.89532034,2097433338.5832953,5925691397.384003,-200654081.45943505
111,111,2453726.1453118,2097995352.056227,5925727101.442725,-200657700.02000645
112,112,2453726.39530335,2098548302.6458228,5925763506.379356,-200660380.40296373
113,113,2453726.6452950714,2099103638.30882,5925794449.041546,-200659457.07278052
114,114,2453726.8952864893,2099668012.7285388,5925830469.503683,-200659504.05460143
115,115,2453727.1452775267,2100229895.661689,5925877641.612584,-200663147.428524
116,116,2453727.3952686605,2100782707.4774785,5925925374.30974,-200665790.46489447
117,117,2453727.6452599624,2101338009.8293335,5925967686.004414,-200664846.50176477
118,118,2453727.895250956,2101902257.6617954,5926015220.26939,-200664934.39554623
119,119,2453728.1452415744,2102463808.494623,5926073868.120152,-200668600.9554885
120,120,2453728.395232294,2103016282.1482954,5926132936.187264,-200671205.2917695
121,121,2453728.645223179,2103571350.5410054,5926186626.200871,-200670240.38253543
122,122,2453728.895213751,2104135267.9564066,5926245682.07199,-200670368.5486405
123,123,2453729.1452039527,2104696283.108872,5926315810.22984,-200674056.57534188
124,124,2453729.395194261,2105248217.143182,5926386218.144735,-200676620.78781772
