,Unnamed: 0,kboTIME,x,y,z
0,0,2452551.7027750625,5494981593.098937,-2247991269.0552254,235644762.3895249
1,1,2452551.952761033,5495147537.252498,-2248540066.723084,235701739.90985012
2,2,2452552.202746759,5495323057.878666,-2249082459.653747,235756169.1088924
3,3,2452552.452732719,5495494877.112885,-2249618045.5978804,235807884.7420289
4,4,2452552.702718741,5495662627.379832,-2250158993.9347057,235862168.75676227
5,5,2452552.952704346,5495839586.161606,-2250705576.391998,235919140.99457487
6,6,2452553.202689712,5496026003.017375,-2251245595.3653693,235973518.5198828
7,7,2452553.4526753165,5496208594.224436,-2251778858.1306515,236025226.98913223
8,8,2452553.7026609783,5496387220.101019,-2252317538.0385284,236079550.05229467
9,9,2452553.952646222,5496575160.911057,-2252861697.213344,236136516.69817793
10,10,2452554.2026312337,5496772437.168657,-2253399135.9056363,236190843.13285255
11,11,2452554.4526164867,5496965763.208153,-2253929871.1067452,236242545.93307275
12,12,2452554.702601793,5497155227.283071,-2254466076.672853,236296908.88209927
13,13,2452554.95258668,5497354108.526242,-2255007605.241644,236353870.1016704
14,14,2452555.2025713427,5497562198.43336,-2255542258.659921,236408146.49776167
15,15,2452555.4525562497,5497766213.375181,-2256070263.756089,236459845.55522865
16,16,2452555.702541205,5497966469.577006,-2256603791.409504,236514249.6168271
17,17,2452555.9525257405,5498176241.186754,-2257142484.924957,236571205.94487727
18,18,2452556.202510058,5498395090.830064,-2257674151.4532228,236625433.69927475
19,19,2452556.452494624,5498609740.940896,-2258199227.6786537,236677131.23146543
20,20,2452556.702479234,5498820735.7263565,-2258729877.9756308,236731577.86882523
21,21,2452556.952463423,5499041340.530065,-2259265536.4808497,236788530.04720613
22,22,2452557.202447401,5499270889.34819,-2259794019.3017035,236842710.73259348
23,23,2452557.4524316317,5499496114.719076,-2260315972.880123,236894409.07500553
24,24,2452557.702415901,5499717788.782107,-2260843551.503833,236948899.8141422
25,25,2452557.9523997484,5499949164.259777,-2261375980.3144326,237005848.6208765
26,26,2452558.202383392,5500189346.819867,-2261901087.9753003,237059983.81977168
27,27,2452558.4523672927,5500425083.129854,-2262419730.478226,237111685.2668474
28,28,2452558.7023512265,5500657373.125525,-2262944048.4023237,237166221.5466587
29,29,2452558.9523347383,5500899453.0719595,-2263473058.090793,237223167.65690413
30,30,2452559.202318053,5501150200.650741,-2263994604.326091,237277258.83436245
31,31,2452559.4523016284,5501396380.650332,-2264509752.3528185,237328965.52444905
32,32,2452559.702285233,5501639220.569476,-2265030625.401214,237383548.59448585
33,33,2452559.9522684137,5501891936.353789,-2265556031.257295,237440492.4912254
34,34,2452560.202251406,5502153178.078099,-2266073834.368598,237494540.9179904
