,kboTIME,x,y,z
0,2452117.673161638,3829112192.3638773,-5215590246.0094385,-15033919.596568346
1,2452145.4904697286,3791309618.5175967,-5261720400.32327,-15931711.538423538
2,2452145.5114288405,3791290755.3315907,-5261762333.731954,-15932607.152635576
3,2452145.532507947,3791271730.9142118,-5261804555.305942,-15933491.023555757
4,2452146.506464869,3790428012.20442,-5263787362.102182,-15964788.263446094
5,2452146.527103963,3790410178.356908,-5263829115.9784775,-15965656.098225597
6,2452170.412161699,3781743262.7914033,-5316923767.062154,-16736539.690538878
7,2452170.420441073,3781744366.0372663,-5316942898.770819,-16736896.879935024
8,2452170.4245807594,3781744914.4075103,-5316952466.422198,-16737074.734791048
9,2452171.4371625227,3781913704.7147536,-5319318971.839676,-16769954.23321295
10,2452432.7764785415,4048560792.1808295,-5123023893.309548,-25213996.188106548
11,2452432.7876994144,4048536380.9842596,-5123014359.19631,-25214437.857288603
12,2452520.2501105866,3898257844.3231153,-5200071809.3512,-28034495.266300913
13,2452521.2482544035,3897761360.678499,-5202262336.589788,-28066641.98798108
14,2452849.3097717385,4052985179.1613545,-5051765034.650302,-38653732.0005212
15,2452851.5482976995,4049135085.1070223,-5054653113.527788,-38728238.674351454
16,2452940.250046249,4045759086.130508,-5237600349.439395,-41586841.70850945
17,2452940.2546157963,4045767257.2135086,-5237608854.498531,-41587042.781795494
18,2452940.258035457,4045773370.0990796,-5237615219.138035,-41587193.19053532
19,2453264.385027168,4117024290.370848,-5060665569.657514,-52032141.69686484
20,2453264.4124952587,4117025532.3249955,-5060728301.15323,-52033339.326963186
21,2453290.24543365,4132980317.964368,-5119859348.209599,-52863183.84439207
22,2453290.386900442,4133146397.5786586,-5120164882.573543,-52869319.421326876
23,2453291.380946419,4134342411.0127788,-5122329029.651179,-52901355.238241196
24,2453293.410142844,4136911731.979114,-5126698157.894993,-52967142.412969835
25,2453559.6963402503,4311513957.746304,-4860201292.61722,-61537204.63484263
26,2453559.7192212148,4311464578.067829,-4860211687.711414,-61538090.5882559
27,2453584.375638707,4264180920.505476,-4883614322.110124,-62327619.230928905
28,2453639.418696722,4227926023.9577713,-4994761521.095126,-64097427.06686019
29,2453639.4839115688,4227955750.5428357,-4994911215.153631,-64100075.96783089
30,2453647.3640697217,4233083243.1782713,-5013022918.066633,-64352667.8175652
31,2453647.399856624,4233112279.394453,-5013103391.463106,-64354195.81667687
32,2454030.1446229913,4360379197.076632,-4959812589.463899,-76636851.41795278
33,2454036.2936163056,4370641188.777137,-4971712903.40557,-76835763.59879804
34,2454036.297965877,4370648912.262402,-4971720889.510925,-76835950.83087134
35,2454359.4418256967,4436544139.58745,-4786448591.029849,-87183123.34525418
36,2454359.4480452994,4436544086.2567005,-4786462666.662691,-87183385.14110017
37,2454359.4837330203,4436543698.927131,-4786543507.660255,-87184856.02735329
38,2454360.2677215273,4436563729.54472,-4788343118.505588,-87207606.29203488
39,2454360.2725512097,4436564008.419306,-4788354071.198282,-87207808.40901875
40,2454383.258466745,4449079482.914515,-4840748771.581366,-87941881.21206214
41,2454383.2664460316,4449087864.378599,-4840766147.368973,-87942228.01221085
42,2454383.28326453,4449105501.386015,-4840802763.274009,-87942961.40622067
43,2454407.3323159,4485944006.75273,-4888505711.187033,-88711683.26999046
44,2454407.3365154834,4485952264.010705,-4888512757.509508,-88711855.95242716
45,2454416.274130951,4505010674.977152,-4902466695.603946,-88997349.67266776
46,2454680.6809004056,4577814423.070932,-4605599615.81201,-97440808.1665547
47,2454763.3411846086,4571503934.650833,-4775832998.829801,-100070008.35487533
