,kboTIME,x,y,z
0,2454089.2788087875,-1926011872.3737369,6172952412.193804,-135948692.9399848
1,2454089.5288170795,-1925455048.12638,6172901115.776148,-135947236.47134376
2,2454089.7788255056,-1924889762.8284905,6172848811.83908,-135944103.31066346
3,2454090.028833587,-1924320207.5726068,6172807070.48515,-135944306.8592205
4,2454090.2788413237,-1923758986.8107076,6172772013.04382,-135946155.74154878
5,2454090.5288491934,-1923201828.3332105,6172732103.816557,-135944651.11826685
6,2454090.7788571925,-1922636191.757823,6172691321.51249,-135941527.3864007
7,2454091.028864842,-1922066484.5011213,6172661168.204307,-135941768.49974394
8,2454091.27887215,-1921505236.3981993,6172637566.620469,-135943597.2336383
9,2454091.5288795945,-1920947959.63027,6172609049.8916025,-135942044.97404695
10,2454091.778887164,-1920382190.3272386,6172579793.816842,-135938931.74767804
11,2454092.0288943783,-1919812550.8640926,6172561229.018007,-135939210.5875783
12,2454092.2789012557,-1919251492.6876504,6172549080.817015,-135941018.9458425
13,2454092.5289082727,-1918694313.632438,6172531954.560156,-135939419.90252924
14,2454092.778915409,-1918128629.9617422,6172514221.899228,-135936318.57420564
15,2454093.028922187,-1917559277.5733202,6172507238.626326,-135936635.60703757
16,2454093.278928631,-1916998625.773508,6172506533.931168,-135938423.67962098
17,2454093.528935218,-1916441759.3743255,6172500788.762778,-135936779.02369237
18,2454093.77894192,-1915876378.3702438,6172494569.352746,-135933691.27820826
19,2454094.0289482586,-1915307530.6856077,6172499153.329107,-135934047.24365425
20,2454094.278954267,-1914747499.763303,6172509875.103441,-135935815.39853883
21,2454094.5289604226,-1914191158.7870338,6172515494.613151,-135934126.57274175
22,2454094.7789666876,-1913626295.064423,6172520771.35965,-135931054.33312845
23,2454095.028972585,-1913058166.9982378,6172536901.515286,-135931450.1836362
24,2454095.2789781573,-1912498968.4827325,6172559026.143114,-135933198.99983978
25,2454095.5289838794,-1911943362.5438845,6172575987.547708,-135931467.64533257
26,2454095.778989706,-1911379227.3736556,6172592737.148619,-135928412.99436355
27,2454096.0289951614,-1910812030.2589588,6172620386.409051,-135928849.81230187
28,2454096.279000295,-1910253871.9036503,6172653884.5427265,-135930579.9928298
29,2454096.529005582,-1909699206.726361,6172682159.586449,-135928807.85808158
30,2454096.779010969,-1909136007.3659027,6172710353.478818,-135925772.9441502
31,2454097.0290159807,-1908569948.3559356,6172749489.753726,-135926251.84576035
32,2454097.2790206745,-1908013033.614656,6172794327.338135,-135927964.11970735
33,2454097.529025526,-1907459510.5844743,6172833883.345859,-135926152.9606986
34,2454097.779030472,-1906897449.9049788,6172873488.783018,-135923139.89706802
35,2454098.0290350383,-1906332731.677417,6172924076.062876,-135923661.93188596
36,2454098.279039292,-1905777259.4871838,6172980215.446096,-135925356.95410013
37,2454098.5290437066,-1905225075.5123363,6173031016.442237,-135923508.43399715
38,2454098.7790482105,-1904664351.937861,6173081997.616424,-135920519.1992793
39,2454099.0290523316,-1904101172.7123888,6173143997.094717,-135921085.25256205
40,2454099.279056144,-1903547337.590667,6173211398.144552,-135922763.5082059
41,2454099.52906012,-1902996685.2785585,6173273405.957983,-135920879.10378647
42,2454099.7790641813,-1902437493.0406117,6173335725.088814,-135917915.45089555
43,2454100.029067856,-1901876046.911715,6173409096.229453,-135918526.15631843
44,2454100.2790712267,-1901324039.3678,6173487717.37352,-135920187.87765622
45,2454100.5290747643,-1900775107.513434,6173560892.64355,-135918268.8000226
46,2454100.7790783816,-1900217637.2138612,6173634510.944177,-135915332.181432
47,2454101.0290816086,-1899658114.7865372,6173719212.402234,-135915987.85205412
48,2454101.279084537,-1899108122.0283184,6173809011.496198,-135917632.95565248
49,2454101.529087635,-1898561096.388038,6173893314.480816,-135915680.09360433
50,2454101.7790908082,-1898005535.8342412,6173978192.900196,-135912771.6113472
51,2454102.0290935873,-1897448125.1158502,6174074183.19284,-135913472.19722724
52,2454102.2790960725,-1896900331.993162,6174175118.113621,-135915100.24967074
53,2454102.529098731,-1896355396.271933,6174270509.198612,-135913114.14343476
54,2454102.779101459,-1895801931.499106,6174366608.842444,-135910234.5310414
55,2454103.0291037895,-1895246818.9484205,6174473846.678965,-135910979.60992673
56,2454103.279105831,-1894701409.0206742,6174585875.560433,-135912589.8273964
57,2454103.5291080484,-1894158745.9480329,6174692315.398107,-135910570.67678475
58,2454103.77911033,-1893607562.2923355,6174799597.570842,-135907720.3158896
59,2454104.029112212,-1893054933.8804364,6174918041.799821,-135908509.1182218
60,2454104.279113809,-1892512090.4562535,6175041122.886702,-135910100.39948177
61,2454104.529115585,-1891971882.794328,6175158572.158982,-135908048.10423088
62,2454104.7791174203,-1891423165.8591814,6175276998.041487,-135905227.07178664
63,2454105.029118852,-1890873207.9862094,6175406607.249969,-135906058.5342722
64,2454105.2791200047,-1890333114.9841132,6175540698.42479,-135907629.51969433
65,2454105.529121339,-1889795546.3251917,6175669117.304713,-135905543.74300718
66,2454105.779122727,-1889249482.7093914,6175798647.359308,-135902751.87872577
67,2454106.029123708,-1888702382.8597527,6175939379.231349,-135903624.71497107
68,2454106.279124415,-1888165225.388689,6176084437.335194,-135905173.85922503
69,2454106.5291253068,-1887630480.658924,6176223784.778143,-135903054.1014862
70,2454106.779126247,-1887087258.3822806,6176364378.020105,-135900291.0821073
71,2454107.0291267773,-1886543205.4738915,6176516188.598413,-135901203.85689402
72,2454107.2791270385,-1886009170.1090808,6176672168.690512,-135902729.5021119
73,2454107.529127487,-1885477435.773249,6176822401.698715,-135900575.17205504
74,2454107.7791279787,-1884937244.413314,6176974014.973413,-135897840.580411
75,2454108.029128058,-1884396428.8716066,6177136857.956287,-135898791.77643442
76,2454108.279127873,-1883865703.6719244,6177303712.635726,-135900292.215807
77,2454108.5291278777,-1883337167.6991925,6177464785.608435,-135898102.69034863
78,2454108.7791279205,-1882800198.310384,6177627372.974174,-135895396.07160854
79,2454109.029127548,-1882262811.9475055,6177801199.134661,-135896384.1423838
80,2454109.2791269165,-1881735586.301841,6177978877.997226,-135897857.66924646
81,2454109.5291264774,-1881210437.9846704,6178150742.225508,-135895632.3383429
82,2454109.779126071,-1880676882.8946157,6178324254.487139,-135892953.2411325
83,2454110.0291252467,-1880143118.6895366,6178509011.245971,-135893976.64893988
84,2454110.2791241687,-1879619583.0868974,6178697460.494813,-135895421.59130573
85,2454110.5291232853,-1879098012.8053274,6178880063.807551,-135893159.8888483
