,Unnamed: 0,kboTIME,x,y,z
0,0,2454242.1764371446,6753751844.774566,-787993806.7483149,-539005518.3240006
1,1,2454242.426459424,6753216491.831446,-787586397.2399187,-539006402.5656198
2,2,2454242.676481781,6752679501.062855,-787172758.3844733,-539011013.4144949
3,3,2454242.9265045337,6752131840.093064,-786761818.6474488,-539015474.2277863
4,4,2454243.1765272827,6751583287.788081,-786361843.7390187,-539016210.7072943
5,5,2454243.4265497127,6751042813.577971,-785963843.3537911,-539017130.0990785
6,6,2454243.6765722255,6750500582.5666275,-785559638.2448468,-539021772.9525068
7,7,2454243.9265951314,6749947730.985125,-785158298.0940759,-539026201.4258791
8,8,2454244.1766180256,6749394190.994021,-784767933.061209,-539026908.6987579
9,9,2454244.4266406004,6748848761.919722,-784379412.5280278,-539027862.6358577
10,10,2454244.6766632623,6748301456.861358,-783984713.5871568,-539032535.7895519
11,11,2454244.926686315,6747743583.293188,-783593044.4858838,-539036930.2879891
12,12,2454245.1767093483,6747185223.7452755,-783212357.4630848,-539037607.8281388
13,13,2454245.426732061,6746635004.8507,-782833384.3157898,-539038595.7201074
14,14,2454245.676754866,6746082790.672877,-782448260.8742733,-539043297.4934728
15,15,2454245.9267780585,6745520062.514615,-782066331.2488811,-539047656.4318428
16,16,2454246.1768012242,6744957050.3046465,-781695387.4247904,-539048303.768579
17,17,2454246.426824069,6744402205.442008,-781326026.3748298,-539049325.0677588
18,18,2454246.67684701,6743845245.964657,-780950545.0109214,-539054053.8298938
19,19,2454246.9268703363,6743277829.534742,-780578420.5579786,-539058375.6965171
20,20,2454247.176893628,6742710330.461757,-780217282.4572049,-539058992.4358021
21,21,2454247.4269165993,6742151022.418007,-779857595.6538419,-539060046.6570672
22,22,2454247.676939669,6741589480.465715,-779491820.4348652,-539064800.8457692
23,23,2454247.926963124,6741017541.101387,-779129564.3498465,-539069084.2206051
24,24,2454248.176986535,6740445719.951108,-778778292.0527809,-539069670.0623372
25,25,2454248.427009625,6739882110.517122,-778428339.2967867,-539070756.8002144
26,26,2454248.6770328195,6739316147.974983,-778072331.989338,-539075534.9395819
27,27,2454248.927056394,6738739850.0751705,-777720005.1771604,-539079778.5121057
28,28,2454249.1770799197,6738163870.652407,-777378656.5342437,-539080333.2680631
29,29,2454249.4271031218,6737596120.647247,-777038495.4975277,-539081452.215328
30,30,2454249.677126434,6737025898.47807,-776692315.7939764,-539086252.935534
31,31,2454249.927150124,6736445405.514947,-776349977.1050527,-539090455.5253563
32,32,2454250.177173756,6735865430.652638,-776018607.9844996,-539090979.1403496
33,33,2454250.427197066,6735293699.933262,-775688294.4698678,-539092130.1101477
34,34,2454250.67722049,6734719378.18945,-775352000.2604669,-539096952.1709074
35,35,2454250.9272442874,6734134852.724363,-775019706.7765341,-539101112.7522007
36,36,2454251.177268021,6733551044.307045,-774698371.3647403,-539101605.3290111
37,37,2454251.4272914315,6732975491.80257,-774377959.619988,-539102788.2805845
38,38,2454251.6773149604,6732397229.672842,-774051607.3196182,-539107630.5979704
39,39,2454251.9273388605,6731808833.41722,-773729414.6933384,-539111748.3268813
40,40,2454252.1773626884,6731221352.45945,-773418165.8469299,-539112210.1537418
41,41,2454252.427386193,6730642136.270026,-773107708.9271678,-539113425.2201496
42,42,2454252.6774098217,6730060092.199855,-772791353.8459008,-539118286.8947039
43,43,2454252.9274338176,6729467986.158506,-772479316.6787585,-539122361.1373549
44,44,2454253.177457734,6728876992.973646,-772178206.3083996,-539122792.7152916
45,45,2454253.427481328,6728294270.566808,-771877756.4627546,-539124040.2301236
46,46,2454253.677505049,6727708602.482707,-771571453.1925174,-539128920.5730599
47,47,2454253.927529135,6727112947.206288,-771269625.4198895,-539132950.9307609
48,48,2454254.177553133,6726518601.688757,-770978704.8718559,-539133352.9972309
49,49,2454254.42757681,6725932530.212653,-770688313.9180485,-539134633.5166849
50,50,2454254.677600618,6725343395.865565,-770392116.6969576,-539139532.0704935
51,51,2454254.9276247867,6724744351.823357,-770100551.9405631,-539143518.3984133
52,52,2454255.177648862,6724146813.851428,-769819872.3354023,-539143891.9435688
53,53,2454255.4276726157,6723557550.567779,-769539591.9811556,-539145206.2603403
54,54,2454255.677696504,6722965107.994448,-769253554.9946734,-539150122.8103554
55,55,2454255.927720751,6722362836.06255,-768972306.8422092,-539154065.2263802
56,56,2454256.177744895,6721762266.013382,-768701919.3313245,-539154411.4988549
57,57,2454256.427768719,6721169968.838754,-768431801.4048612,-539155760.6449591
58,58,2454256.6777926823,6720574376.92702,-768155978.9876994,-539160695.2192456
59,59,2454256.927817,6719969038.975786,-767885101.1653827,-539164594.1005487
60,60,2454257.177841208,6719365598.33469,-767625057.0730671,-539164914.6005144
61,61,2454257.427865096,6718770426.470893,-767365153.6319869,-539166299.8369929
62,62,2454257.677889128,6718171845.608797,-767099600.3416905,-539171252.6926558
63,63,2454257.9279135102,6717563605.168929,-766839146.7519243,-539175108.6582273
64,64,2454258.177937776,6716957457.212197,-766589497.5759869,-539175405.1160136
65,65,2454258.4279617216,6716359571.845029,-766339860.8681406,-539176827.9078561
66,66,2454258.677985816,6715758164.633247,-766084631.4038006,-539181799.5021727
67,67,2454258.928010256,6715147187.619951,-765834656.0006543,-539185613.3796661
68,68,2454259.1780345724,6714538498.150293,-765595453.2430514,-539185887.7181549
69,69,2454259.42805857,6713938063.195172,-765356135.4889468,-539187349.6925209
70,70,2454259.67808272,6713333995.199821,-765111284.4221071,-539192340.6368517
71,71,2454259.9281072114,6712720450.669968,-764871840.8888223,-539196113.4115294
72,72,2454260.1781315724,6712109388.776435,-764643135.6772603,-539196367.6899277
73,73,2454260.428155615,6711506571.638383,-764414188.6315867,-539197870.5751177
74,74,2454260.678179813,6710900012.146136,-764179769.9038699,-539202881.5689588
75,75,2454260.92820435,6710284073.043529,-763950911.0841472,-539206614.3120854
76,76,2454261.178228749,6709670811.832621,-763732753.5342997,-539206850.6484997
77,77,2454261.42825283,6709065784.117443,-763514227.7753037,-539208396.1912842
78,78,2454261.678277071,6708456906.818761,-763290293.9119383,-539213427.9344621
79,79,2454261.928301646,6707838750.620889,-763072070.9464848,-539217121.7097887
80,80,2454262.178326075,6707223467.818895,-762864509.2209345,-539217342.1819887
81,81,2454262.4283501883,6706616405.881985,-762656453.13087,-539218932.0436528
82,82,2454262.678374464,6706005389.354794,-762443054.143376,-539223985.1283232
83,83,2454262.9283990697,6705385198.479914,-762235515.2983532,-539227640.8798481
84,84,2454263.1784235225,6704768076.753161,-762038594.3654866,-539227847.4091908
85,85,2454263.42844766,6704159161.921804,-761841052.8252621,-539229483.0472378
86,86,2454263.6784719643,6703546189.743629,-761638234.849745,-539234557.8387463
87,87,2454263.928496594,6702924151.541689,-761441424.1097412,-539238176.271209
88,88,2454264.178521063,6702305378.3576975,-761255184.3039321,-539238370.503669
89,89,2454264.428545217,6701694796.654735,-761068197.2338848,-539240053.0554396
90,90,2454264.678569543,6701080056.981482,-760876001.0680796,-539245149.580568
91,91,2454264.9285941888,6700456363.163388,-760689956.6878399,-539248731.0534022
92,92,2454265.1786186667,6699836130.07006,-760514432.2949277,-539248914.260293
93,93,2454265.4286428317,6699224071.3449135,-760338033.2925779,-539250644.4524786
94,94,2454265.6786671705,6698607755.897114,-760156493.1051754,-539255762.3198259
95,95,2454265.9286918254,6697982601.38321,-759981246.4108198,-539259306.7794837
96,96,2454266.1787163047,6697361102.7313175,-759816464.5799912,-539259479.8024354
97,97,2454266.428740472,6696747759.270779,-759650679.9583715,-539261257.9099383
98,98,2454266.6787648173,6696130061.848062,-759479822.4681853,-539266396.2838559
99,99,2454266.928789473,6695503643.20462,-759315397.1904979,-539269903.2531244
100,100,2454267.1788139464,6694881074.528151,-759161377.4311628,-539270066.5086039
101,101,2454267.428838109,6694266639.402871,-759006225.883889,-539271892.3741754
102,102,2454267.678862453,6693647754.218104,-758846070.1950017,-539277050.0092536
103,103,2454267.9288871023,6693020268.001201,-758692482.4744401,-539280518.6357784
