,Unnamed: 0,kboTIME,x,y,z
0,0,2454730.938935441,2310773500.896391,5916800076.421915,129819981.06331398
1,1,2454731.188958243,2310690555.9904146,5916198249.846424,129820544.40199232
2,2,2454731.4389808173,2310605432.4560537,5915603684.769089,129817937.70844267
3,3,2454731.689003628,2310515100.226487,5915004528.806689,129817308.09749414
4,4,2454731.939026591,2310432506.161677,5914398058.879348,129819829.16498779
5,5,2454732.18904924,2310360571.966786,5913796174.412114,129820343.83182502
6,6,2454732.439071664,2310286328.5311675,5913201519.90095,129817722.99918962
7,7,2454732.6890943265,2310206968.451827,5912602197.077464,129817133.60380912
8,8,2454732.9391171336,2310135487.6069283,5911995687.819765,129819660.4528296
9,9,2454733.1891396227,2310074584.100976,5911393936.223789,129820127.43532684
10,10,2454733.4391618897,2310011241.17987,5910799381.978242,129817494.42850542
11,11,2454733.689184396,2309942874.870533,5910200084.424839,129816946.65716362
12,12,2454733.9392070407,2309882526.1617064,5909593731.115066,129819479.81381084
13,13,2454734.1892293617,2309832668.6997685,5908992307.247174,129819900.28082252
14,14,2454734.4392514643,2309780241.882761,5908398046.942808,129817257.21215177
15,15,2454734.6892738068,2309722885.878959,5907798970.646279,129816752.58061124
16,16,2454734.939296282,2309673682.879109,5907192972.222742,129819292.66457748
17,17,2454735.1893184283,2309634881.2937155,5906592074.378993,129819667.87053776
18,18,2454735.4393403586,2309593380.49549,5905998304.958337,129817016.90341474
19,19,2454735.68936253,2309547045.4538302,5905399649.000053,129816556.93860272
20,20,2454735.9393848283,2309508995.65622,5904794207.251932,129819104.56757618
21,21,2454736.1894067917,2309481253.5823016,5904194036.315622,129819435.75743772
22,22,2454736.4394285427,2309450682.430518,5903600957.098014,129816779.01245952
23,23,2454736.689450537,2309415372.581952,5903002922.729363,129816365.1608031
24,24,2454736.9394726492,2309388476.92225,5902398241.342586,129818920.8613248
25,25,2454737.1894944226,2309371791.3900604,5901798999.806945,129819209.18382382
26,26,2454737.4395159874,2309352146.8895373,5901206811.493931,129816548.655051
27,27,2454737.6895377957,2309327859.7756557,5900609601.129387,129816182.20285058
28,28,2454737.939559715,2309312112.44201,5900005884.673303,129818746.33515884
29,29,2454738.1895812918,2309306473.7610245,5899407775.62904,129818992.77186991
30,30,2454738.4396026633,2309297746.249531,5898816679.299332,129816330.26051427
31,31,2454738.6896242783,2309284472.7486773,5898220495.524218,129816012.2732792
32,32,2454738.9396459977,2309279861.2771244,5897617948.47825,129818584.9765761
33,33,2454739.18966737,2309285253.197996,5897021174.665963,129818790.29265524
34,34,2454739.4396885405,2309287426.570141,5896431370.859388,129816127.36339284
