,kboTIME,x,y,z
0,2453905.611529622,5778860945.920562,-3323346236.2472343,-198384280.46268457
1,2455089.937516425,5817186579.310571,-3047899749.2096524,-210607429.64733675
2,2455090.2861338817,5817152715.557891,-3048664468.257878,-210610951.05098733
3,2455091.384524004,5817054980.856499,-3051075627.461431,-210623037.41214207
4,2455301.256894826,6134211059.849449,-2929088803.0818753,-212690720.97211483
5,2455305.318501713,6130264690.507319,-2918281448.9403105,-212730023.98654687
6,2456888.7009271486,6078873106.810287,-2334632881.660032,-227261590.05255067
7,2457270.6584365233,6102988442.165395,-2232376418.543287,-230484179.14093816
8,2457606.7368412595,6175505873.81653,-2044805266.4080007,-233232909.9125902
9,2457990.623676293,6184430338.830019,-1939458286.711016,-236264401.54841423
10,2457991.6584335733,6183343201.306676,-1941425874.3327904,-236272345.625509
