,Unnamed: 0,kboTIME,x,y,z
0,0,2453623.4650813513,13003758583.719635,4931332672.458961,-3630825691.45761
1,1,2453707.383881204,13100460547.64879,4771688423.779472,-3619696763.3683896
2,2,2453967.5639870446,13010179284.60345,5029532354.768548,-3585156588.046247
3,3,2453968.5340610943,13008852044.768957,5027564863.962741,-3585027940.416215
4,4,2453977.524700784,12998247767.636156,5008377026.406472,-3583833120.772433
5,5,2453977.814719914,12997961456.21312,5007726554.998577,-3583791888.444672
6,6,2453978.444761034,12997343105.671131,5006329847.048772,-3583711484.433711
7,7,2454325.028717881,13007461622.445194,5095727493.793048,-3537569312.8744555
8,8,2457051.1096206745,13086005115.995628,5260657678.503165,-3169902932.1471763
9,9,2457051.179434215,13086143861.775349,5260778467.838796,-3169892637.3152285
10,10,2457054.3594604414,13092338928.300251,5266538500.09558,-3169457539.4447327
11,11,2457054.430193908,13092475248.651165,5266670270.242682,-3169447739.070137
