,kboTIME,x,y,z
0,2454852.521522918,-5463825329.976517,2434303182.6552553,184674596.0008952
1,2454852.771537762,-5463299019.188956,2434538748.943588,184680560.8012064
2,2454853.0215524067,-5462773556.465047,2434785343.2417946,184682806.36096296
3,2454853.271566621,-5462258942.996329,2435034930.650021,184684823.52587956
4,2454853.5215808535,-5461746392.8187275,2435278370.448778,184690563.88643962
5,2454853.7715953304,-5461226003.189858,2435523762.850271,184696502.52955383
6,2454854.0216095997,-5460706668.07677,2435780165.437152,184698718.1021964
7,2454854.27162344,-5460198236.49925,2436039386.465388,184700769.16044056
8,2454854.521637303,-5459691752.496685,2436292425.020354,184706546.35694316
9,2454854.7716514063,-5459177466.739184,2436547536.3125424,184712457.57393715
10,2454855.021665296,-5458664441.639341,2436813636.142657,184714642.95636493
11,2454855.271678757,-5458162371.113762,2437082378.343496,184716727.7192145
12,2454855.5216922453,-5457662131.83772,2437344904.465568,184722540.427575
13,2454855.7717059716,-5457154130.760324,2437609622.2712502,184728422.82250735
14,2454856.0217194767,-5456647596.038858,2437885303.1374106,184730577.68958506
15,2454856.271732554,-5456152063.598226,2438163448.940348,184732695.8315403
16,2454856.521745663,-5455658245.428323,2438435346.3143854,184738542.5949526
17,2454856.7717590067,-5455156707.573971,2438709553.0833416,184744394.66337413
18,2454857.0217721225,-5454656841.183676,2438994693.6027293,184746518.58739352
19,2454857.2717848117,-5454168021.345295,2439282120.3060884,184748669.66698426
20,2454857.521797538,-5453680798.087348,2439563267.4899645,184754548.91845095
21,2454857.7718104944,-5453185899.316547,2439846840.508082,184760369.07152376
22,2454858.0218232167,-5452692876.367573,2440141314.1443615,184762461.54777357
23,2454858.2718355134,-5452210940.690545,2440437893.951619,184764645.03496477
24,2454858.521847852,-5451730483.121764,2440728164.4279103,184770555.12680608
25,2454858.7718604174,-5451242396.145686,2441020975.886833,184776341.72261006
26,2454859.0218727416,-5450756388.428651,2441324651.0401716,184778402.20229912
27,2454859.271884642,-5450281505.029091,2441630251.1710663,184780617.51335648
28,2454859.521896589,-5449807980.406138,2441929513.4797516,184786556.7541839
29,2454859.7719087596,-5449326874.288268,2442231430.632986,184792308.13639852
30,2454860.021920682,-5448848049.772018,2442544170.821246,184794336.06675634
31,2454860.2719321824,-5448380382.819432,2442858653.7179794,184796582.60607424
32,2454860.5219437336,-5447913954.37421,2443166771.6873527,184802549.30447647
33,2454860.771955505,-5447439994.026456,2443477657.1069856,184808263.8473832
34,2454861.021967022,-5446968516.356923,2443799321.249158,184810258.71765
35,2454861.2719781185,-5446508225.578125,2444122544.8857837,184812535.92508233
36,2454861.521989271,-5446049052.027233,2444439377.9669895,184818528.43842718
37,2454861.7720006397,-5445582397.725434,2444759089.904019,184824204.59660077
38,2454862.0220117476,-5445118425.7492695,2445089532.706878,184826165.98825628
39,2454862.2720224373,-5444665665.961885,2445421351.0013785,184828473.3902968
40,2454862.522033187,-5444213901.050068,2445746754.7051516,184834490.17707396
41,2454862.77204415,-5443754707.987449,2446075147.5515876,184840126.53831553
42,2454863.022054846,-5443298395.317162,2446414219.9979663,184842054.17824516
43,2454863.2720651254,-5442853316.007966,2446754483.326249,184844391.44190606
44,2454863.5220754696,-5442409108.0995035,2447088309.76243,184850431.11662036
45,2454863.772086024,-5441957525.991312,2447425234.6177664,184856026.45731995
46,2454864.022096304,-5441509020.625027,2447772784.5614963,184857920.27324656
47,2454864.2721061707,-5441071765.58677,2448121340.3811526,184860287.26205763
48,2454864.522116107,-5440635257.320064,2448463438.9118924,184866348.6521658
49,2454864.772126249,-5440191430.076983,2448808744.267927,184871901.99461457
50,2454865.0221361113,-5439750874.093893,2449164617.152458,184873762.17227188
51,2454865.2721455623,-5439321581.146403,2449521310.7559953,184876159.0036809
52,2454865.522155088,-5438892909.183192,2449871528.784515,184882241.20753902
53,2454865.7721648156,-5438456974.691967,2450225061.3517814,184887751.87775907
54,2454866.0221742573,-5438024504.069927,2450589101.0759497,184889578.9178475
55,2454866.27218329,-5437603304.920733,2450953776.4958105,184892006.01936808
56,2454866.5221924027,-5437182599.854969,2451311960.41024,184898108.46162757
57,2454866.7722017136,-5436754689.941525,2451673566.1007724,184903576.14315397
58,2454867.022210733,-5436330434.582547,2452045616.039503,184905370.9123821
59,2454867.272219346,-5435917454.923296,2452418117.1032686,184907829.0694592
60,2454867.5222280435,-5435504841.45573,2452784113.361733,184913951.54547042
61,2454867.7722369353,-5435085082.145473,2453153638.399489,184919376.3191312
62,2454868.0222455296,-5434669166.230852,2453533542.5331597,184921140.0838669
63,2454868.272253721,-5434264526.19582,2453913714.002094,184923630.46654385
64,2454868.522262001,-5433860123.702069,2454287370.2693834,184929773.16135043
65,2454868.772270472,-5433448635.902839,2454664662.3137507,184935155.51528808
66,2454869.02227864,-5433041178.69662,2455052266.3250437,184936889.94108954
67,2454869.272286407,-5432644993.790114,2455439954.947733,184939414.09201738
68,2454869.5222942685,-5432248917.371533,2455821121.0882225,184945577.5561357
69,2454869.7723023165,-5431845818.045229,2456206030.1493893,184950918.34843135
70,2454870.0223100563,-5431446935.182541,2456601182.2433953,184952625.44856757
71,2454870.2723173983,-5431059317.676511,2456996237.4611115,184955185.21696836
72,2454870.5223248387,-5430671679.654711,2457384766.11086,184961370.28571665
73,2454870.772332462,-5430277083.3933325,2457777144.973127,184966670.64911485
74,2454871.0223397715,-5429886888.521175,2458179696.137815,184968352.67508596
75,2454871.2723466866,-5429507949.140637,2458581970.1689057,184970950.0939668
76,2454871.522353705,-5429128860.763369,2458977716.634351,184977157.75244865
77,2454871.772360902,-5428742881.489888,2459377420.5648417,184982418.94840878
78,2454872.022367779,-5428361487.93778,2459787224.0892725,184984078.2349863
79,2454872.2723742654,-5427991337.475373,2460196571.259122,184986715.35956535
80,2454872.5223808596,-5427620910.447987,2460599392.665714,184992946.57669112
81,2454872.772387628,-5427243662.839381,2461006278.394611,184998169.82702824
82,2454873.0223940713,-5426871184.912666,2461423188.6975217,184999808.62416553
83,2454873.2724001273,-5426509935.373196,2461839464.1341767,185002487.36719415
84,2454873.5224062954,-5426148282.837429,2462249218.011031,185008742.9368002
85,2454873.7724126335,-5425779883.125369,2462663142.2308984,185013929.27222914
