,Unnamed: 0,kboTIME,x,y,z
0,0,2453856.4413363407,-4983108726.060791,-3343958925.571497,15707733.66691947
1,1,2453856.6913340418,-4983453018.467793,-3343552714.2468376,15700346.62519432
2,2,2453856.9413314387,-4983807916.408051,-3343144761.6419497,15691430.28066612
3,3,2453857.191328438,-4984168683.458747,-3342746465.948066,15685920.16768909
4,4,2453857.441325531,-4984522918.052721,-3342353452.1967425,15681907.327394012
5,5,2453857.6913228068,-4984875445.787103,-3341954376.555261,15674472.660912512
6,6,2453857.941319776,-4985238609.207809,-3341553728.1313624,15665567.462235454
7,7,2453858.1913163485,-4985607459.022459,-3341162828.565625,15660094.077025885
8,8,2453858.441313022,-4985969677.70021,-3340777107.6433344,15656059.082154993
9,9,2453858.691309876,-4986330302.908039,-3340385299.1579685,15648577.32398797
10,10,2453858.941306415,-4986701591.265819,-3339992086.2106466,15639684.297590025
11,11,2453859.1913025654,-4987078382.093897,-3339608710.579818,15634247.706835745
12,12,2453859.44129882,-4987448445.556696,-3339230408.1942754,15630190.251156567
13,13,2453859.6912952526,-4987817029.911314,-3338845993.8434386,15622662.163633827
14,14,2453859.9412913667,-4988196302.233081,-3338460343.269757,15613782.534639353
15,15,2453860.191287095,-4988580891.988372,-3338084615.094206,15608382.983825682
16,16,2453860.441282934,-4988958660.660031,-3337713852.8280263,15604302.945827724
17,17,2453860.691278946,-4989335065.544982,-3337336955.5937705,15596729.472417835
18,18,2453860.9412746374,-4989722180.575563,-3336958990.357682,15587864.619241955
19,19,2453861.1912699463,-4990114426.954547,-3336591029.304247,15582502.490436316
20,20,2453861.441265371,-4990499761.075639,-3336227925.014683,15578399.894037966
21,21,2453861.6912609665,-4990883847.66118,-3335858664.2488976,15570782.122610578
22,22,2453861.941256235,-4991278663.928446,-3335488503.715533,15561933.543012856
23,23,2453862.191251126,-4991678424.4684725,-3335128425.9025283,15556609.323937895
24,24,2453862.44124614,-4992071184.15101,-3334773093.998977,15552484.310138235
25,25,2453862.6912413198,-4992462813.449573,-3334411585.67489,15544823.44658756
26,26,2453862.9412361686,-4992865189.325271,-3334049345.8392224,15535992.733318798
27,27,2453863.191230645,-4993272321.473252,-3333697264.046266,15530706.99519849
28,28,2453863.441225248,-4993672366.7786045,-3333349815.68404,15526559.801526073
29,29,2453863.691220015,-4994071399.734628,-3332996172.576339,15518857.150114773
30,30,2453863.9412144464,-4994481193.538656,-3332641966.233533,15510045.97216296
31,31,2453864.19120851,-4994895554.770421,-3332297990.066589,15504799.351980455
32,32,2453864.4412027057,-4995302745.843536,-3331958533.309754,15500630.2951529
33,33,2453864.691197062,-4995709043.483251,-3331612865.1578746,15492887.24079514
34,34,2453864.9411910786,-4996126113.650031,-3331266802.071023,15484097.325277565
35,35,2453865.1911847317,-4996547561.652207,-3330931038.138999,15478890.507431978
36,36,2453865.441178522,-4996961758.916988,-3330599678.148794,15474699.96414447
37,37,2453865.691172469,-4997375182.55658,-3330262091.859557,15466917.951549765
38,38,2453865.941166073,-4997799387.85524,-3329924278.98015,15458151.061227327
39,39,2453866.191159319,-4998227780.754799,-3329596831.137069,15452984.753625626
40,40,2453866.4411527063,-4998648845.149475,-3329273670.438099,15448773.134670492
41,41,2453866.691146247,-4999069256.633967,-3328944270.377495,15440953.639741184
42,42,2453866.941139441,-4999500456.408522,-3328614812.1654696,15432211.541774515
43,43,2453867.191132281,-4999935653.010132,-3328295781.861529,15427086.44229937
44,44,2453867.441125268,-5000363446.216953,-3327980920.7247467,15422854.15630198
45,45,2453867.6911184047,-5000790708.13864,-3327659809.132997,15414998.64649153
46,46,2453867.9411111907,-5001228762.511856,-3327338808.0049515,15406283.069644215
47,47,2453868.191103628,-5001670622.482064,-3327028294.768707,15401199.82072305
48,48,2453868.4410962174,-5002105007.086165,-3326721831.726489,15396947.225843435
49,49,2453868.6910889526,-5002538982.91418,-3326409109.2641,15389057.10853004
50,50,2453868.941081333,-5002983752.884122,-3326096666.169101,15380369.688580746
51,51,2453869.1910733697,-5003432136.80981,-3325794768.211568,15375328.820377106
52,52,2453869.441065564,-5003872976.314281,-3325496800.68667,15371056.165347096
53,53,2453869.691057899,-5004313530.362693,-3325192567.0838275,15363132.726457365
54,54,2453869.941049877,-5004764877.721278,-3324888782.169764,15354474.942911627
55,55,2453870.191041516,-5005219646.974814,-3324595597.064006,15349476.809080595
56,56,2453870.4410333163,-5005666805.608672,-3324306222.05677,15345184.168325907
57,57,2453870.6910252552,-5006113802.785731,-3324010576.8018985,15337228.50678968
58,58,2453870.941016832,-5006571589.808642,-3323715550.100203,15328601.617263788
59,59,2453871.191008076,-5007032606.177063,-3323431175.4571466,15323646.330289362
60,60,2453871.440999486,-5007485948.46254,-3323150490.205723,15319333.540713793
61,61,2453871.69099103,-5007939253.777222,-3322863533.183082,15311346.506813996
62,62,2453871.940982209,-5008403342.671955,-3322577365.2183113,15302751.487562185
63,63,2453872.19097306,-5008870467.747816,-3322301899.263316,15297838.862366445
64,64,2453872.440964082,-5009329857.835646,-3322030001.780893,15293505.470522165
65,65,2453872.6909552333,-5009789335.68117,-3321751833.7622485,15285487.61681342
66,66,2453872.9409460165,-5010259587.823482,-3321474625.993984,15276925.117882255
67,67,2453873.1909364774,-5010732682.197758,-3321208167.9554605,15272054.631907942
68,68,2453873.440927113,-5011197983.020043,-3320945157.3609824,15267699.859331844
