,Unnamed: 0,kboTIME,x,y,z
0,0,2455141.2276823833,11100057378.77118,-6357403962.387188,-800446395.3065853
1,1,2455141.4776573996,11100555326.938782,-6357842547.608191,-800419203.5080919
2,2,2455141.727632073,11101064671.950914,-6358279181.0115595,-800392026.8636589
3,3,2455141.9776068744,11101575978.432604,-6358705265.114254,-800368578.8586985
4,4,2455142.2275819574,11102079922.83742,-6359129473.969273,-800345084.5954428
5,5,2455142.4775568508,11102586005.964458,-6359560312.046771,-800317862.8809937
6,6,2455142.7275314047,11103103454.769032,-6359989013.672746,-800290720.0960097
7,7,2455142.977506093,11103622674.100508,-6360407131.231373,-800267304.5089875
8,8,2455143.227481063,11104134504.416431,-6360823484.454517,-800243778.1734282
9,9,2455143.4774558395,11104648604.399271,-6361246426.443964,-800216525.6473991
10,10,2455143.7274302808,11105174035.124523,-6361667046.915925,-800189415.7907019
11,11,2455143.9774048645,11105701044.432472,-6362077050.651961,-800166030.5835638
12,12,2455144.227379728,11106220639.425543,-6362485400.488428,-800142470.1736017
13,13,2455144.4773543943,11106742633.745941,-6362900295.726947,-800115185.9454414
14,14,2455144.7273287307,11107275919.846869,-6363312684.155143,-800088108.0994006
15,15,2455144.977303216,11107810591.388214,-6363714425.455437,-800064751.2749367
16,16,2455145.22727798,11108337824.725685,-6364114622.968778,-800041154.8747473
17,17,2455145.477252544,11108867585.509174,-6364521319.825224,-800013838.1652223
18,18,2455145.7272267826,11109408594.89504,-6364925324.619666,-799986791.5288825
19,19,2455145.9772011773,11109950795.25559,-6365318654.404036,-799963461.2303586
20,20,2455146.227175849,11110485534.776596,-6365710550.392083,-799939827.1056267
21,21,2455146.4771503173,11111022928.13732,-6366108897.225311,-799912477.3371521
22,22,2455146.727124466,11111571522.592094,-6366504367.089371,-799885461.3119429
23,23,2455146.977098777,11112121112.181726,-6366889136.83277,-799862155.9041525
24,24,2455147.2270733644,11112663219.466518,-6367272582.873601,-799838482.5776098
25,25,2455147.4770477456,11113208105.15107,-6367662429.097714,-799811099.4438888
26,26,2455147.7270218115,11113764140.05205,-6368049214.106954,-799784113.6978767
27,27,2455147.976996047,11114320972.89667,-6368425276.926631,-799760831.8261434
28,28,2455148.2269705576,11114870303.130495,-6368800126.4702215,-799737118.130589
29,29,2455148.4769448587,11115422534.453928,-6369181323.646966,-799709701.64319
30,30,2455148.7269188496,11115985858.779871,-6369559276.337215,-799682746.1517134
31,31,2455148.976893017,11116549782.599882,-6369926488.071483,-799659486.7769041
32,32,2455149.2268674592,11117106184.720129,-6370292597.505529,-799635731.8839238
33,33,2455149.4768416886,11117665608.781424,-6370665000.393182,-799608282.394197
34,34,2455149.726815613,11118236065.395634,-6371033976.787252,-799581357.455474
35,35,2455149.9767897213,11118806921.954042,-6371392196.994817,-799558119.8637415
36,36,2455150.226764102,11119370239.0605,-6371749426.612688,-799534323.287128
37,37,2455150.4767382666,11119936697.213406,-6372112894.098663,-799506841.482822
38,38,2455150.7267121333,11120514123.392841,-6372472754.598215,-799479947.7082567
39,39,2455150.97668619,11121091749.078371,-6372821847.404234,-799456731.4957081
40,40,2455151.226660517,11121661819.065556,-6373170062.201806,-799432893.0702815
41,41,2455151.4766346267,11122235147.596495,-6373524458.046956,-799405379.9482332
42,42,2455151.7266084417,11122819375.751215,-6373875068.119923,-799378518.2296015
43,43,2455151.9765824554,11123403602.332872,-6374214902.842928,-799355323.2647854
44,44,2455152.2265567384,11123980258.6733,-6374553973.083486,-799331443.1042701
45,45,2455152.4765308,11124560289.608284,-6374899166.423724,-799303899.9236909
46,46,2455152.726504573,11125151148.106369,-6375240397.040623,-799277071.3825548
47,47,2455152.976478551,11125741803.569176,-6375570848.562538,-799253897.7528963
48,48,2455153.2264527967,11126324876.1529,-6375900650.081732,-799229976.1937269
49,49,2455153.476426819,11126911438.095531,-6376236515.669639,-799202404.417568
50,50,2455153.7264005584,11127508752.094294,-6376568243.482685,-799175610.3449472
51,51,2455153.9763745093,11128105661.45707,-6376889192.3673315,-799152458.2956071
52,52,2455154.226348726,11128694977.39,-6377209606.6351185,-799128495.8353108
53,53,2455154.476322717,11129287896.296604,-6377536024.849607,-799100897.0684443
54,54,2455154.7262964305,11129891488.490862,-6377858132.153278,-799074138.8635397
55,55,2455154.9762703623,11130494474.523035,-6378169464.561778,-799051008.7373222
56,56,2455155.2262445586,11131089858.808798,-6378480378.558531,-799027005.9758159
57,57,2455155.4762185253,11131688958.63386,-6378797235.24725,-798999381.9079334
58,58,2455155.726192221,11132298649.864069,-6379109609.791277,-798972661.0231261
59,59,2455155.9761661426,11132907533.654615,-6379411217.270128,-798949553.2080661
60,60,2455156.226140326,11133508809.723198,-6379712523.255734,-798925510.7977878
61,61,2455156.4761142773,11134113912.90902,-6380019709.490953,-798897863.1560179
62,62,2455156.726087964,11134729522.613482,-6380322244.226728,-798871181.0524036
63,63,2455156.976061882,11135344123.98606,-6380614023.448545,-798848095.9403901
64,64,2455157.22603606,11135951114.073105,-6380905618.702669,-798824014.5476685
65,65,2455157.476010004,11136562041.89661,-6381203030.525336,-798796345.0605267
66,66,2455157.725983689,11137183388.428934,-6381495623.356174,-798769703.1747204
67,67,2455157.975957612,11137803526.231894,-6381777475.878602,-798746641.1311287
68,68,2455158.225931793,11138416051.64394,-6382059262.471647,-798722521.408062
69,69,2455158.4759057374,11139032624.461498,-6382346800.677066,-798694831.7792857
70,70,2455158.725879429,11139659525.319073,-6382629354.259244,-798668231.4993672
71,71,2455158.9758533644,11140285017.640127,-6382901186.341941,-798645192.8409739
72,72,2455159.225827556,11140902898.958616,-6383173070.969744,-798621035.404623
73,73,2455159.4758015084,11141524936.404104,-6383450640.960682,-798593327.2932142
74,74,2455159.7257752144,11142157208.424416,-6383723062.5739355,-798566769.9397726
75,75,2455159.975749171,11142787872.787844,-6383984785.065391,-798543754.916584
76,76,2455160.225723381,11143410930.070177,-6384246678.9521675,-798519560.3308268
77,77,2455160.4756973493,11144038251.264341,-6384514190.657161,-798491835.3324639
78,78,2455160.7256710767,11144675710.846468,-6384776392.135578,-798465322.1396514
79,79,2455160.9756450616,11145311364.448877,-6385027920.413789,-798442330.9154531
80,80,2455161.225619297,11145939417.480783,-6385279739.26091,-798418099.6702057
81,81,2455161.475593289,11146571841.30392,-6385537107.088562,-798390359.2946516
82,82,2455161.725567047,11147214304.704515,-6385789004.776032,-798363891.3859744
83,83,2455161.9755410673,11147854764.735064,-6386030258.700741,-798340924.0123181
84,84,2455162.2255153367,11148487633.376345,-6386271922.632397,-798316656.4949397
85,85,2455162.47548936,11149124978.841858,-6386519065.4063,-798288902.1344495
86,86,2455162.725463155,11149772262.577684,-6386760580.074718,-798262480.4884683
87,87,2455162.9754372193,11150417346.64882,-6386991483.883063,-798239536.8676219
88,88,2455163.2254115287,11151054851.29125,-6387222917.314587,-798215233.3224144
89,89,2455163.4753855905,11151696938.030592,-6387459758.1087675,-798187466.2075415
90,90,2455163.7253594305,11152348859.389002,-6387690814.753553,-798161091.6104798
91,91,2455163.975333545,11152998386.068405,-6387911296.808956,-798138171.4450804
92,92,2455164.2253079037,11153640348.184805,-6388132428.14373,-798113831.9195262
93,93,2455164.47528201,11154286997.009777,-6388358893.921906,-798086053.0619259
