,kboTIME,x,y,z
0,2454387.5388508425,4059109553.3254967,1258911751.0991147,-9817253.326225044
1,2454387.7888497203,4059289329.8929076,1258429923.2844813,-9842416.25382644
2,2454388.038848239,4059479820.6300135,1257944767.0611448,-9865712.636136293
3,2454388.28884639,4059677582.496762,1257468066.5621264,-9892244.099158227
4,2454388.5388446827,4059869795.5221314,1256996632.327914,-9920611.805850925
5,2454388.7888431214,4060060003.8890696,1256518731.244967,-9945726.147634627
6,2454389.0388411963,4060260987.825084,1256037677.19358,-9969029.729005158
7,2454389.2888389085,4060469083.828382,1255565198.2045906,-9995599.745009184
8,2454389.538836767,4060671533.6518683,1255097902.8576176,-10023949.922594905
9,2454389.788834767,4060872100.8697066,1254624115.5346565,-10049015.860206246
10,2454390.0388323995,4061083501.5657935,1254147351.230916,-10072327.406336248
11,2454390.2888296735,4061301852.8730083,1253679278.3927906,-10098935.823524714
12,2454390.5388270984,4061514462.0558023,1253216304.6307135,-10127267.842311919
13,2454390.788824661,4061725310.978313,1252746815.2647243,-10152285.766697407
14,2454391.0388218514,4061947047.830585,1252274525.3512652,-10175606.237547457
15,2454391.288818688,4062175571.54209,1251811040.285111,-10202253.09142864
16,2454391.538815681,4062398258.658129,1251352567.7557917,-10230566.528221905
17,2454391.788812807,4062619308.1686378,1250887557.442669,-10255537.048083724
18,2454392.038809556,4062851296.642266,1250419923.3470392,-10278867.60687119
19,2454392.2888059574,4063089906.0350194,1249961204.3597362,-10305553.130145134
20,2454392.5388025194,4063322585.926223,1249507409.3528533,-10333847.778904857
21,2454392.788799209,4063553751.20861,1249047055.7634525,-10358771.731743397
22,2454393.038795519,4063795903.129658,1248584255.3587408,-10382113.756304324
23,2454393.2887914865,4064044507.973947,1248130477.0894833,-10408838.390660226
24,2454393.5387876183,4064287092.0954676,1247681532.1695516,-10437114.274422228
25,2454393.788783874,4064528285.013197,1247226009.1696362,-10461992.737951994
26,2454394.0387797463,4064780508.987784,1246768216.3840606,-10485347.831375241
27,2454394.2887752806,4065039016.0113654,1246319549.407931,-10512112.237175882
28,2454394.5387709844,4065291412.9448547,1245875623.015613,-10540369.61609483
29,2454394.7887668074,4065542542.6090126,1245425100.2690325,-10565203.91377443
30,2454395.0387622435,4065804744.652056,1244972484.697739,-10588573.906898677
31,2454395.2887573466,4066073058.2335973,1244529095.1547096,-10615378.962105753
32,2454395.538752624,4066335174.4480186,1244090351.2613833,-10643618.327761292
33,2454395.788748016,4066596148.0486856,1243644993.9190912,-10668410.017327309
34,2454396.0387430177,4066868232.4885354,1243197720.5590854,-10691796.950770974
35,2454396.288737692,4067146255.6352468,1242759769.9481509,-10718643.725726487
36,2454396.5387325445,4067417996.534751,1242326367.9221025,-10746865.76737094
37,2454396.7887275075,4067688720.4557815,1241886336.5732338,-10771616.597287716
38,2454397.0387220765,4067970591.110882,1241444565.8739414,-10795022.667513907
39,2454397.2887163237,4068258226.687867,1241012211.2185485,-10821912.360113444
40,2454397.5387107534,4068539497.881203,1240584306.118858,-10850117.887849212
41,2454397.788705289,4068819878.9957294,1240149757.2250304,-10874829.707596362
42,2454398.038699427,4069111440.4798155,1239713645.6748326,-10898257.164536716
43,2454398.288693249,4069408592.5040927,1239287040.2717872,-10925190.985681118
44,2454398.538687258,4069699301.063581,1238864783.7655077,-10953380.803550243
45,2454398.788681368,4069989247.9335027,1238435870.7482798,-10978055.424531698
46,2454399.0386750773,4070290406.769948,1238005572.131352,-11001506.421958268
47,2454399.288668476,4070596981.4116626,1237584866.9719093,-11028485.43756062
48,2454399.5386620658,4070897036.732849,1237168408.908217,-11056660.178661587
49,2454399.788655752,4071196460.3010216,1236745283.859524,-11081299.203957858
50,2454400.038649034,4071507125.42437,1236320951.081836,-11104775.626884999
51,2454400.2886420116,4071823031.296175,1235906296.7682483,-11131800.58668518
52,2454400.538635184,4072132345.1572123,1235495787.1551714,-11159960.546192825
53,2454400.788628448,4072441158.565657,1235078602.840088,-11184565.21005857
54,2454401.0386213046,4072761240.8939853,1234660389.922923,-11208068.52400005
55,2454401.288613863,4073086388.377775,1234251938.6166492,-11235139.724411847
56,2454401.5386066195,4073404874.026761,1233847529.486877,-11263284.738703312
57,2454401.7885994622,4073722991.478748,1233436441.091159,-11287855.803528965
58,2454402.0385918957,4074052402.571389,1233024504.7685883,-11311386.971040728
59,2454402.288584036,4074386702.296556,1232622411.610392,-11338504.193291366
60,2454402.5385763785,4074714272.7787967,1232224258.2403915,-11366633.600669086
61,2454402.7885688026,4075041607.7483673,1231819424.3701909,-11391171.339886904
62,2454403.0385608138,4075380257.933697,1231413924.8587866,-11414730.825025022
63,2454403.288552538,4075723618.8581505,1231018348.50471,-11441893.360628545
64,2454403.538544468,4076060185.084189,1230626609.7176049,-11470006.046539428
65,2454403.788536475,4076396648.404875,1230228192.4753373,-11494510.307518482
66,2454404.038528066,4076744444.921015,1229829293.3359919,-11518098.154152991
67,2454404.288519376,4077096772.549934,1229440395.6226695,-11545304.89639354
68,2454404.538510896,4077442241.6138625,1229055233.2762597,-11573399.395656943
69,2454404.788502487,4077787739.9151435,1228663397.5924842,-11597869.71013534
70,2454405.03849366,4078144585.478961,1228271264.9303896,-11621485.65820837
71,2454405.2884845575,4078505780.574624,1227889209.9683113,-11648735.221951485
72,2454405.5384756685,4078860054.6083755,1227510787.9647582,-11676809.83985138
73,2454405.788466846,4079214489.315881,1227125700.5459576,-11701245.544389546
74,2454406.038457603,4079580281.2675457,1226740501.9182038,-11724889.148349168
75,2454406.288448091,4079950239.132278,1226365454.9793432,-11752179.985181214
76,2454406.5384387956,4080313214.7183967,1225993938.1492217,-11780232.90790087
77,2454406.788429562,4080676481.58783,1225615766.3717437,-11804633.24862391
78,2454407.0384199056,4081051111.536504,1225237669.703733,-11828303.97626567
79,2454407.2884099856,4081429721.7584004,1224869796.171133,-11855634.467270672
80,2454407.5384002863,4081801289.7634315,1224505349.2631154,-11883663.847998263
81,2454407.788390644,4082173278.7909975,1224134260.2073817,-11908028.059762716
82,2454408.0383805763,4082556632.592297,1223763432.8755815,-11931725.365026474
83,2454408.2883702517,4082943779.078709,1223402897.3774118,-11959093.887754083
84,2454408.538360151,4083323824.732168,1223045684.2435787,-11987097.907691956
85,2454408.7883501025,4083704420.2709007,1222681843.9291046,-12011425.2691679
86,2454409.0383396265,4084096378.173653,1222318452.0446963,-12035148.642178299
87,2454409.2883289,4084491939.3207474,1221965417.7850006,-12062553.616484046
88,2454409.538318401,4084880342.4005756,1221615600.755213,-12090530.526496531
89,2454409.788307949,4085269423.3573155,1221259173.5544906,-12114820.397662401
90,2454410.0382970674,4085669860.2087617,1220903381.4137957,-12138569.398943903
91,2454410.2882859427,4086073709.1108856,1220558009.6566494,-12166009.318797529
92,2454410.5382750486,4086470344.153337,1220215749.0522344,-12193957.468812348
93,2454410.788264196,4086867784.19781,1219866897.229531,-12218209.317835629
94,2454411.038252913,4087276569.6514587,1219518866.8750043,-12241983.603361487
95,2454411.2882413925,4087688574.3062916,1219181316.5253098,-12269457.060847998
96,2454411.5382301062,4088093310.8070493,1218846770.2561505,-12297374.92272562
97,2454411.788218857,4088498978.5695457,1218505653.5772977,-12321588.34741217
98,2454412.038207175,4088915977.2807307,1218165544.4181654,-12345387.689161064
99,2454412.2881952636,4089336000.7826185,1217835971.6518276,-12372893.39479226
100,2454412.538183589,4089748703.3877487,1217509294.853575,-12400779.582152605
101,2454412.788171946,4090162462.6494384,1217176070.2279453,-12424954.32890171
102,2454413.0381598696,4090587534.466928,1216844038.6863785,-12448778.633336427
103,2454413.28814757,4091015435.200137,1216522596.6004903,-12476315.434556484
104,2454413.5381355104,4091435963.9012513,1216203941.2874386,-12504168.721011462
105,2454413.788123478,4091857673.7931037,1215878762.4222927,-12528304.702285113
106,2454414.038111011,4092290673.9637284,1215554961.5897446,-12552154.027333438
107,2454414.2880983273,4092726305.813027,1215241799.8616993,-12579720.92543775
