,Unnamed: 0,kboTIME,x,y,z
0,0,2454783.2610372608,3385908083.5250173,5127975966.676242,-2621747002.5132084
1,1,2454783.5110406647,3386308251.588767,5127608892.968277,-2621723443.099553
2,2,2454783.7610441786,3386713959.7277236,5127236134.246746,-2621696475.803733
3,3,2454784.0110472967,3387129982.0113225,5126869065.543499,-2621671034.204636
4,4,2454784.261050106,3387543897.1801505,5126512037.345,-2621648989.479572
5,5,2454784.5110531105,3387951020.8031077,5126153651.885941,-2621625391.9136066
6,6,2454784.761056219,3388363797.256859,5125789671.457039,-2621598412.8472986
7,7,2454785.011058929,3388786786.7750835,5125431545.088143,-2621573017.6500483
8,8,2454785.261061334,3389207488.5921073,5125083426.908918,-2621550992.182713
9,9,2454785.5110639376,3389621432.809326,5124733847.1338215,-2621527355.6145263
10,10,2454785.7610666403,3390041141.4204674,5124378765.3432865,-2621500364.814108
11,11,2454786.01106894,3390470959.3558426,5124029701.2215185,-2621475015.47832
12,12,2454786.261070941,3390898309.920829,5123690611.342705,-2621453007.6289
13,13,2454786.5110731428,3391318938.9487915,5123349957.311935,-2621429330.798768
14,14,2454786.7610754385,3391745442.222307,5123003897.197218,-2621402327.9081
15,15,2454787.011077328,3392181947.962192,5122664017.916149,-2621377023.5127673
16,16,2454787.2610789225,3392615807.150307,5122334077.291954,-2621355031.301905
17,17,2454787.5110807223,3393042982.500411,5122002471.698815,-2621331312.6629863
18,18,2454787.76108261,3393476139.7535763,5121665558.782352,-2621304297.066792
19,19,2454788.011084088,3393919189.104873,5121334989.208203,-2621279036.451891
20,20,2454788.261085276,3394359412.8698664,5121014320.872429,-2621257057.707869
21,21,2454788.5110866725,3394792991.761021,5120691888.28208,-2621233295.5763264
22,22,2454788.7610881515,3395232657.66364,5120364249.663689,-2621206266.550981
23,23,2454789.0110892165,3395682101.533779,5120043115.905253,-2621181048.466891
24,24,2454789.2610899983,3396128540.737187,5119731843.842763,-2621159080.971528
25,25,2454789.51109099,3396568375.0772953,5119418709.487603,-2621135273.666864
26,26,2454789.76109206,3397014398.787309,5119100472.585938,-2621108230.513946
27,27,2454790.0110927117,3397470082.471625,5118788900.704395,-2621083053.747545
28,28,2454790.261093085,3397922582.315177,5118487148.548954,-2621061095.3537984
29,29,2454790.5110936733,3398368518.270568,5118183437.030617,-2621037241.3069053
30,30,2454790.7610943317,3398820743.132057,5117874728.303752,-2621010183.451603
31,31,2454791.01109457,3399282506.129713,5117572843.065093,-2620985046.915557
32,32,2454791.261094536,3399740906.0765505,5117280732.893846,-2620963095.6277337
33,33,2454791.5110947182,3400192784.0863857,5116986567.02629,-2620939193.4516835
34,34,2454791.7610949664,3400651047.726443,5116687510.8686,-2620912120.504671
35,35,2454792.011094791,3401118723.90862,5116395434.698626,-2620887023.291591
36,36,2454792.2610943485,3401582857.91092,5116113086.04723,-2620865077.312356
37,37,2454792.5110941255,3402040512.963948,5115828585.931516,-2620841125.8422484
38,38,2454792.761093962,3402504647.61058,5115539303.806807,-2620814037.6329193
39,39,2454793.011093373,3402978065.5717354,5115257155.981738,-2620788979.0432878
40,40,2454793.2610925217,3403447762.447125,5114984685.09014,-2620767036.797021
41,41,2454793.511091893,3403911024.476927,5114709967.411292,-2620743035.1086555
42,42,2454793.7610913184,3404380857.369169,5114430577.197171,-2620715931.6995177
43,43,2454794.0110903154,3404859840.848124,5114158473.23285,-2620690911.2529488
44,44,2454794.2610890563,3405334924.7072787,5113895992.475945,-2620668971.3944674
45,45,2454794.511088022,3405803619.0235186,5113631169.970568,-2620644918.8103004
46,46,2454794.7610870367,3406278972.845567,5113361785.459382,-2620617800.50028
47,47,2454795.01108562,3406763341.1614914,5113099836.64336,-2620592817.937005
48,48,2454795.2610839526,3407243631.844003,5112847454.091587,-2620570879.3517127
49,49,2454795.5110825137,3407717579.567437,5112592635.133429,-2620546775.439275
50,50,2454795.7610811167,3408198272.8838058,5112333365.640385,-2620519642.760322
51,51,2454796.011079288,3408687841.371837,5112081678.661759,-2620494698.036656
52,52,2454796.261077213,3409173154.8813896,5111839497.731227,-2620472759.835111
53,53,2454796.511075369,3409652173.3787365,5111594785.99933,-2620448604.4002514
54,54,2454796.7610735632,3410138021.070315,5111345736.047593,-2620421458.109092
55,55,2454797.011071321,3410632601.51937,5111104412.699375,-2620396551.388151
56,56,2454797.26106884,3411122750.462473,5110872531.871213,-2620374612.896022
57,57,2454797.5110665928,3411606653.7860146,5110638026.084911,-2620350405.9716353
58,58,2454797.7610643767,3412097467.4918056,5110399295.155953,-2620323247.037051
59,59,2454798.011061724,3412596868.588693,5110168432.101865,-2620298378.6750503
60,60,2454798.2610588376,3413091662.619768,5109946944.705699,-2620276439.418587
61,61,2454798.511056188,3413580261.9529576,5109722738.423758,-2620252181.248891
62,62,2454798.761053564,3414075850.516909,5109494420.772155,-2620225010.834668
63,63,2454799.0110504995,3414579878.293916,5109274109.378225,-2620200181.362923
64,64,2454799.2610472096,3415079124.561933,5109063103.440643,-2620178241.0502357
65,65,2454799.511044158,3415572228.664091,5108849284.925474,-2620153932.07102
66,66,2454799.7610411267,3416072398.5781345,5108631469.458526,-2620126751.5151052
67,67,2454800.0110376542,3416580856.8537498,5108421795.688846,-2620101961.618529
68,68,2454800.261033961,3417084360.438536,5108221353.84495,-2620080020.117621
69,69,2454800.51103051,3417581776.0757627,5108018005.9882145,-2620055660.933577
70,70,2454800.761027073,3418086331.905688,5107810776.204686,-2620028471.7247143
71,71,2454801.011023193,3418599022.704824,5107611820.573486,-2620003722.218209
72,72,2454801.2610191,3419106587.02986,5107422020.031409,-2619981779.5333014
73,73,2454801.51101525,3419608119.379749,5107229220.328617,-2619957370.8940363
74,74,2454801.761011409,3420116864.16265,5107032654.3020115,-2619930174.647514
75,75,2454802.011007124,3420633588.1068444,5106844491.865393,-2619905466.4518924
76,76,2454802.2610026314,3421145015.321103,5106665404.405129,-2619883522.6996346
77,77,2454802.5109983846,3421650468.346364,5106483224.959039,-2619859065.475902
78,78,2454802.7609941415,3422163203.9577646,5106297395.3440075,-2619831863.9098377
79,79,2454803.010989452,3422683760.626584,5106120095.709012,-2619807198.028569
80,80,2454803.2609845637,3423198851.960017,5105951787.692882,-2619785253.4152236
81,81,2454803.510979922,3423708028.759328,5105780295.2229395,-2619760748.5761533
82,82,2454803.760975279,3424224556.2620225,5105605269.262536,-2619733543.4888263
83,83,2454804.0109701883,3424748744.541653,5105438896.592422,-2619708920.985762
84,84,2454804.260964904,3425267300.6543803,5105281428.967613,-2619686975.78518
85,85,2454804.51095987,3425780003.814289,5105120684.808228,-2619662424.376008
86,86,2454804.760954829,3426300123.8165174,5104956524.327626,-2619635217.6232433
87,87,2454805.0109493397,3426827742.2668858,5104801137.3321905,-2619610639.5998783
88,88,2454805.260943664,3427349563.6268373,5104654565.618446,-2619588694.1303663
89,89,2454805.5109382397,3427865595.612646,5104504625.703822,-2619564097.2482452
90,90,2454805.7609328018,3428389108.676393,5104351387.093579,-2619536890.717941
91,91,2454806.0109269163,3428919955.959886,5104207039.013957,-2619512358.2868075
92,92,2454806.26092085,3429444843.293582,5104071413.292315,-2619490412.882932
93,93,2454806.5109150386,3429964006.925188,5103932328.151124,-2619465771.646291
94,94,2454806.7609092086,3430490714.070852,5103790062.371522,-2619438567.225106
95,95,2454807.010902928,3431024589.488068,5103656800.999524,-2619414081.473847
96,96,2454807.260896475,3431552344.348461,5103532165.951671,-2619392136.447284
97,97,2454807.5108902785,3432074443.401797,5103403980.7711115,-2619367451.952548
98,98,2454807.760884058,3432604146.7452717,5103272733.447268,-2619340251.4782248
99,99,2454808.0108773867,3433140850.907881,5103150601.2595825,-2619315813.4175878
100,100,2454808.260870549,3433671276.3809924,5103036996.348833,-2619293869.000282
101,101,2454808.5108639705,3434196116.326557,5102919751.209546,-2619269142.259274
102,102,2454808.7608573623,3434728619.847667,5102799562.928789,-2619241947.452095
103,103,2454809.0108503033,3435267955.472073,5102688597.456733,-2619217557.941931
104,104,2454809.260843084,3435800856.9884143,5102586057.379022,-2619195614.206391
105,105,2454809.510836126,3436328245.812569,5102479787.7950115,-2619170846.0602865
106,106,2454809.760829133,3436863356.177494,5102370694.744037,-2619143658.431038
107,107,2454810.010821688,3437405128.8964453,5102270929.316187,-2619119318.0833
108,108,2454810.2608140907,3437940315.016955,5102179484.8543005,-2619097374.841175
109,109,2454810.510806757,3438470063.966489,5102084222.742297,-2619072565.854774
110,110,2454810.7607993814,3439007591.2146416,5101986257.793961,-2619045386.595749
111,111,2454811.0107915546,3439551610.187481,5101897722.741002,-2619021095.664305
112,112,2454811.2607835825,3440088893.11597,5101817402.083951,-2618999152.356657
113,113,2454811.510775874,3440620817.0922284,5101733177.189583,-2618974302.7101717
114,114,2454811.76076812,3441160574.8925586,5101646371.425398,-2618947132.590406
115,115,2454812.0107599143,3441706652.903781,5101569095.685167,-2618922890.87266
116,116,2454812.260751569,3442245848.408319,5101499926.09693,-2618900946.480535
117,117,2454812.5107434904,3442779765.695508,5101426767.703493,-2618876055.8909287
118,118,2454812.76073536,3443321570.870397,5101351152.13618,-2618848895.190365
119,119,2454813.0107267774,3443869523.6407433,5101285164.961642,-2618824701.9771395
120,120,2454813.260718064,3444410450.1472635,5101227174.442587,-2618802754.989648
121,121,2454813.510709617,3444946181.2907624,5101165112.95149,-2618777822.6982393
122,122,2454813.760701113,3445489852.488305,5101100719.99111,-2618750671.215967
123,123,2454814.0106921573,3446039497.155146,5101046052.2707,-2618726525.321579
124,124,2454814.260683077,3446581974.054952,5100999270.701446,-2618704573.788555
125,125,2454814.510674265,3447119340.0217266,5100948338.571372,-2618679598.635928
126,126,2454814.76066539,3447664695.7608085,5100895202.7375965,-2618652455.786282
127,127,2454815.010656064,3448215848.8422284,5100851887.46504,-2618628355.664545
128,128,2454815.2606466203,3448759694.410973,5100816346.823142,-2618606397.3306274
129,129,2454815.510637446,3449298514.501967,5100776578.528662,-2618581377.906401
130,130,2454815.760628204,3449845371.1174603,5100734736.154636,-2618554242.8816085
131,131,2454816.0106185093,3450397846.5267677,5100702807.8891535,-2618530186.7982593
132,132,2454816.2606087048,3450942876.041019,5100678541.481494,-2618508219.2816567
133,133,2454816.510599171,3451482966.140025,5100649972.537678,-2618483154.1061893
134,134,2454816.7605895633,3452031136.190284,5100619460.612776,-2618456026.0581517
135,135,2454817.010579504,3452584743.8214808,5100598954.170048,-2618432012.2697625
136,136,2454817.2605693415,3453130768.3350124,5100585995.20261,-2618410033.235091
137,137,2454817.510559451,3453671939.8842897,5100568660.644145,-2618384920.923613
138,138,2454817.760549481,3454221231.32977,5100549515.233746,-2618357799.117742
139,139,2454818.01053906,3454775776.436349,5100540464.077236,-2618333826.014081
140,140,2454818.260528543,3455322602.3508806,5100538844.045503,-2618311833.30166
141,141,2454818.510518299,3455864662.103175,5100532776.839807,-2618286672.679263
142,142,2454818.760507969,3456414878.227007,5100525031.542624,-2618259556.5953174
143,143,2454819.01049719,3456970161.494746,5100527466.30389,-2618235622.786645
144,144,2454819.260486322,3457517590.7663684,5100537213.59017,-2618213614.486237
145,145,2454819.5104757277,3458060341.107048,5100542443.3214,-2618188404.6480665
146,146,2454819.7604650417,3458611280.9357605,5100546128.047413,-2618161294.027888
147,147,2454820.0104539073,3459167098.984126,5100560075.402989,-2618137398.3819265
148,148,2454820.2604426914,3459714929.6874237,5100581214.253452,-2618115372.8597565
149,149,2454820.5104317493,3460258169.2460804,5100597766.197739,-2618090113.188475
150,150,2454820.7604207117,3460809628.1957803,5100612906.338999,-2618063008.045276
151,151,2454821.0104092257,3461365774.245865,5100638388.273223,-2618039149.690095
152,152,2454821.2603976657,3461913801.25179,5100670938.146884,-2618017105.586241
153,153,2454821.5103863804,3462457325.5811768,5100698832.700171,-2617991795.7442746
154,154,2454821.7603749936,3463009096.131113,5100725448.630787,-2617964696.350741
155,155,2454822.010363161,3463565360.6676235,5100762482.001698,-2617940874.6601906
156,156,2454822.26035126,3464113376.288149,5100806457.194763,-2617918810.8720307
157,157,2454822.510339635,3464656978.4884377,5100845709.5475855,-2617893450.783081
158,158,2454822.760327904,3465208850.7837486,5100883816.342402,-2617866357.651521
159,159,2454823.010315727,3465765022.1347423,5100932412.638917,-2617842572.225035
160,160,2454823.2603034903,3466312816.6780696,5100987822.0742855,-2617820487.887085
161,161,2454823.51029153,3466856287.928028,5101038442.027203,-2617795077.7157397
162,162,2454823.7602794576,3467408050.2889237,5101088049.2986355,-2617767991.5776825
163,163,2454824.010266941,3467963915.113991,5101148214.495551,-2617744242.220574
164,164,2454824.2602543733,3468511277.3522115,5101215061.591921,-2617722136.685558
165,165,2454824.510242081,3469054407.358652,5101277053.434525,-2617696676.8186717
166,166,2454824.7602296723,3469605846.7148404,5101338165.219288,-2617669598.606637
167,167,2454825.010216821,3470161190.4263144,5101409899.670561,-2617645885.3126645
168,168,2454825.2602039254,3470707908.004549,5101488182.240282,-2617623758.134781
169,169,2454825.5101913065,3471250485.4019127,5101561544.651421,-2617598249.164964
170,170,2454825.7601785655,3471801387.685839,5101634159.312599,-2617571179.9960585
171,171,2454826.0101653845,3472355994.8373947,5101717457.655932,-2617547502.931444
172,172,2454826.260152166,3472901854.658512,5101807167.81153,-2617525353.850673
173,173,2454826.5101392246,3473443667.391755,5101891893.766919,-2617499796.5603395
174,174,2454826.7601261567,3473993817.9223,5101976003.903416,-2617472737.719961
175,175,2454827.0101126498,3474547472.594445,5102070854.973089,-2617449097.207025
176,176,2454827.260099113,3475092261.206323,5102171979.043946,-2617426926.1325192
177,177,2454827.5100858547,3475633096.9211698,5102268055.736403,-2617401321.476552
178,178,2454827.760072464,3476182280.798714,5102363648.108023,-2617374274.400288
179,179,2454828.010058637,3476734766.9987607,5102470034.866894,-2617350670.8988304
180,180,2454828.2600447875,3477278270.9982553,5102582553.338702,-2617328477.8896623
181,181,2454828.5100312163,3477817917.449688,5102689962.12495,-2617302826.975105
182,182,2454828.760017508,3478365919.970111,5102797017.607872,-2617275793.2274284
183,183,2454829.0100033656,3478917022.0509057,5102914917.1133795,-2617252227.3127565
184,184,2454829.259989208,3479459028.505935,5103038804.604887,-2617230012.555071
185,185,2454829.509975329,3479997273.983608,5103157520.992649,-2617204316.6171308
186,186,2454829.759961309,3480543881.067475,5103276014.577821,-2617177297.866432
187,187,2454830.0099468566,3481093384.1593127,5103405397.992966,-2617153770.2037125
188,188,2454830.259932397,3481633681.0418143,5103540623.2793255,-2617131533.984305
189,189,2454830.509918216,3482170314.80388,5103670616.9620905,-2617105794.358869
190,190,2454830.759903888,3482715313.431673,5103800517.801688,-2617078792.349141
191,191,2454831.009889131,3483263003.878045,5103941350.454052,-2617055303.664622
192,192,2454831.2598743746,3483801380.4987173,5104087876.537758,-2617033046.341537
193,193,2454831.5098598967,3484336193.205776,5104229111.476135,-2617007264.4348717
194,194,2454831.759845267,3484879371.852084,5104370382.975342,-2616980280.954729
195,195,2454832.0098302118,3485425037.643627,5104522624.459935,-2616956832.0044746
196,196,2454832.259815164,3485961285.084842,5104680408.683806,-2616934553.9751906
197,197,2454832.509800394,3486494069.2327704,5104832843.227308,-2616908731.2312155
198,198,2454832.759785468,3487035218.3006372,5104985443.175079,-2616881768.080573
199,199,2454833.00977012,3487578649.511287,5105149047.494876,-2616858359.616788
200,200,2454833.259754786,3488112561.064957,5105318041.69194,-2616836061.283815
201,201,2454833.509739731,3488643111.4261537,5105481628.737489,-2616810199.148561
202,202,2454833.759724515,3489182023.6939745,5105645509.474668,-2616783258.102135
203,203,2454834.0097088786,3489723012.934217,5105820425.22009,-2616759890.835967
204,204,2454834.259693265,3490254384.5617824,5106000575.905117,-2616737572.5684342
205,205,2454834.5096779303,3490782498.653853,5106175263.101229,-2616711672.4498177
206,206,2454834.759662429,3491318969.7550445,5106350371.739818,-2616684755.2152705
207,207,2454835.009646512,3491857312.663225,5106536542.326376,-2616661429.773481
208,208,2454835.259630624,3492385943.498611,5106727790.954328,-2616639091.8617487
209,209,2454835.5096150152,3492911422.100162,5106913520.982842,-2616613155.0814624
210,210,2454835.759599236,3493445251.053112,5107099799.715172,-2616586263.248653
211,211,2454836.0095830425,3493980746.8388963,5107297163.725298,-2616562980.120482
212,212,2454836.2595668873,3494506439.743684,5107499447.070099,-2616540622.72004
213,213,2454836.5095510096,3495029087.4602513,5107696158.066111,-2616514650.453796
214,214,2454836.7595349583,3495560077.243728,5107893544.6318035,-2616487785.431567
215,215,2454837.009518495,3496092529.269132,5108102036.335278,-2616464544.902505
216,216,2454837.259502077,3496615091.413845,5108315287.069057,-2616442167.964364
217,217,2454837.5094859377,3497134717.254505,5108522913.263704,-2616416161.1683717
218,218,2454837.759469619,3497662675.3737664,5108731341.661939,-2616389324.10765
219,219,2454838.009452893,3498191891.6999803,5108950891.803499,-2616366126.1800885
220,220,2454838.2594362195,3498711135.0810227,5109175039.363064,-2616343729.3690767
221,221,2454838.509419823,3499227552.93509,5109393512.031276,-2616317688.695945
222,222,2454838.759403243,3499752291.8470826,5109612913.55216,-2616290880.4043183
223,223,2454839.00938626,3500278085.594017,5109843450.467373,-2616267724.712378
224,224,2454839.259369336,3500793827.312082,5110078422.252189,-2616245307.3231754
225,225,2454839.509352689,3501306856.131703,5110307670.98765,-2616219233.039861
226,226,2454839.7593358546,3501828193.3171377,5110537975.55781,-2616192453.903048
227,227,2454840.0093186195,3502350382.608973,5110779426.580161,-2616169339.639925
228,228,2454840.259301452,3502862444.672153,5111025149.407415,-2616146900.53207
229,229,2454840.50928456,3503371908.11983,5111265103.60869,-2616120792.4638643
230,230,2454840.759267476,3503889665.564479,5111506241.289626,-2616094042.4005995
231,231,2454841.0092499955,3504408072.835121,5111758534.239885,-2616070968.286826
232,232,2454841.259232589,3504916281.281709,5112014935.799436,-2616048505.8683696
233,233,2454841.5092154588,3505422006.669272,5112265526.0626,-2616022363.399136
234,234,2454841.75919813,3505936009.622954,5112517428.353782,-2615995641.879333
235,235,2454842.0091804103,3506450460.2020607,5112780492.725911,-2615972606.2003345
236,236,2454842.2591627715,3506954643.525573,5113047502.6201315,-2615950118.485573
237,237,2454842.509145407,3507456460.097019,5113308661.605293,-2615923940.6357884
238,238,2454842.7591278413,3507966535.2382326,5113571262.114304,-2615897246.778511
239,239,2454843.009109887,3508476855.4245963,5113845029.5302725,-2615874247.501759
240,240,2454843.2590920213,3508976842.586235,5114122579.497601,-2615851732.246301
241,241,2454843.5090744286,3509474579.504038,5114394241.910347,-2615825517.8241434
242,242,2454843.75905663,3509980552.9368625,5114667476.089326,-2615798850.562477
243,243,2454844.009038447,3510486568.0412345,5114951879.794341,-2615775885.5133963
244,244,2454844.25902036,3510982186.5929074,5115239902.971618,-2615753340.397769
245,245,2454844.509002545,3511475671.175029,5115522004.6065645,-2615727088.1872363
246,246,2454844.758984519,3511977366.810634,5115805808.598335,-2615700446.458049
247,247,2454845.008966113,3512478899.7061696,5116100782.135689,-2615677513.508068
248,248,2454845.25894781,3512969974.529177,5116399211.589948,-2615654936.3204184
249,249,2454845.5089297784,3513459031.1912713,5116691687.749957,-2615628645.2557664
250,250,2454845.758911532,3513956269.903032,5116985996.727728,-2615602028.163925
251,251,2454846.0088929087,3514453140.395461,5117291472.232454,-2615579125.3825817
252,252,2454846.258874396,3514939493.282134,5117600239.239596,-2615556514.156347
253,253,2454846.5088561517,3515423943.323681,5117903023.028126,-2615530183.44381
254,254,2454846.75883769,3515916542.926801,5118207769.528736,-2615503590.367949
255,255,2454847.008818856,3516408567.911217,5118523676.125799,-2615480716.112844
256,256,2454847.258800139,3516890017.8799324,5118842708.652536,-2615458069.2003584
257,257,2454847.50878169,3517369679.9384108,5119155729.554046,-2615431698.375468
258,258,2454847.758763018,3517857455.7632,5119470842.168793,-2615405129.010425
259,259,2454848.008743979,3518344449.894757,5119797104.782507,-2615382281.956357
260,260,2454848.2587250643,3518820813.936597,5120126326.417815,-2615359598.0454464
261,261,2454848.5087064155,3519295504.791222,5120449509.351221,-2615333186.977817
262,262,2454848.7586875404,3519778270.526749,5120774911.899787,-2615306641.329451
263,263,2454849.008668302,3520260047.0871,5121111450.544688,-2615283820.4553256
264,264,2454849.2586491955,3520731141.039649,5121450779.900737,-2615261098.5492954
265,265,2454849.508630353,3521200676.4807563,5121784044.722053,-2615234647.4164577
266,266,2454849.7586112814,3521678245.0302577,5122119655.849031,-2615208125.7709107
267,267,2454850.0085918508,3522154616.759701,5122466385.311742,-2615185330.326081
268,268,2454850.258572559,3522620256.108417,5122815735.780972,-2615162569.707911
269,269,2454850.5085535296,3523084451.7039537,5123158997.105444,-2615136078.9577622
270,270,2454850.758534266,3523556635.9138618,5123504730.15901,-2615109581.8431807
271,271,2454851.00851465,3524027415.7001,5123861559.925357,-2615086811.3095922
272,272,2454851.258495179,3524487416.2251725,5124220839.646932,-2615064011.504793
273,273,2454851.508475969,3524946087.926585,5124574006.846445,-2615037481.819184
274,274,2454851.7584565217,3525412701.1533337,5124929769.90039,-2615011009.97058
275,275,2454852.0084367264,3525877702.56024,5125296604.196528,-2614988264.02954
276,276,2454852.258417084,3526331880.8286867,5125665716.110297,-2614965424.774864
277,277,2454852.5083977003,3526784845.4297805,5126028693.3743925,-2614938857.039904
278,278,2454852.758378075,3527245701.969406,5126394389.292824,-2614912411.371258
279,279,2454853.008358107,3527704739.6397595,5126771127.150895,-2614889689.8777237
280,280,2454853.258338298,3528152913.383816,5127149969.060243,-2614866811.097305
281,281,2454853.5083187474,3528599988.8791337,5127522655.45316,-2614840206.380933
282,282,2454853.7582989517,3529054904.309858,5127898181.940823,-2614813787.9642987
283,283,2454854.0082788183,3529507794.294681,5128284717.242043,-2614791090.927632
284,284,2454854.258258851,3529949782.7304,5128673181.848153,-2614768172.714981
285,285,2454854.50823914,3530390788.627142,5129055471.333208,-2614741532.2496967
286,286,2454854.75821918,3530839580.118453,5129440720.950861,-2614715142.2986603
287,287,2454855.008198888,3531286140.185237,5129836942.433125,-2614692469.8668733
288,288,2454855.258178769,3531721764.3217063,5130234917.334734,-2614669512.469477
289,289,2454855.508158904,3532156521.9531775,5130626698.7664795,-2614642837.636739
290,290,2454855.758138788,3532599008.5865045,5131021558.917645,-2614616477.490639
