,kboTIME,x,y,z
0,2452265.6312175347,5034375936.403423,1310684959.2056298,-283213811.6754644
1,2452271.5084491987,5049667666.36856,1314467948.2875237,-283884416.7463732
2,2452820.8283605683,5001721850.742867,1870382830.8613586,-346171135.77546096
3,2452829.965343131,4978939082.889014,1869598133.8390646,-347201312.02492255
4,2452845.9081655834,4941994924.104017,1860192776.241361,-348998603.5950284
5,2452874.8514985214,4891242603.775422,1820897747.5601532,-352259543.20676565
6,2453032.5323424437,5107304591.7048435,1702059489.6906018,-369994568.7574828
7,2453922.019580725,4941006208.81524,2376272661.0821424,-468892740.0928822
8,2455206.6795299463,4926673655.51636,2663786838.620395,-607714708.7771306
9,2455516.9552765894,4758646840.455784,2817539890.959818,-640444731.8106155
