,mean,stddev
mass_1,3.44e+18,3e+16
mass_2,0.0,0.0
sma_2,4530.0,10.0
ecc_2,0.47,0.002
aop_2,139.07885342906073,0.6
inc_2,49.92804382399654,0.3
lan_2,88.66651610862893,0.4
mea_2,335.7,0.5
j2r2_1,630.0,63.0
c22r2_1,63.0,6.300000000000001
j2r2_2,540.0,54.0
c22r2_2,54.0,5.4
spaop_1,139.07885342906073,0.6
spinc_1,94.92804382399655,0.3
splan_1,88.66651610862893,0.4
sprate_1,1.5715384799943886e-06,1.5715384799943888e-07
spaop_2,180.0,20.0
spinc_2,49.92804382399654,0.3
splan_2,88.66651610862893,0.4
sprate_2,1.5715384799943886e-06,1.5715384799943888e-07
