,mean,stddev
mass_1,2.1107692307692308e+18,2.110769230769231e+17
mass_2,1.3292307692307692e+18,1.3292307692307693e+17
sma_2,4530.0,10.0
ecc_2,0.47,0.002
aop_2,139.07885342906073,0.6
inc_2,49.92804382399654,0.3
lan_2,88.66651610862893,0.4
mea_2,335.7,0.5
j2r2_1,630.0,63.0
c22r2_1,63.0,6.300000000000001
j2r2_2,540.0,54.0
c22r2_2,54.0,5.4
spaop_1,139.07885342906073,0.6
spinc_1,49.92804382399654,0.3
splan_1,88.66651610862893,0.4
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,94.92804382399655,0.3
splan_2,88.66651610862893,0.4
sprate_2,0.0002493,2.493e-05
