,mean,stddev
mass_1,3.280643983539759e+17,3.2806439835397588e+16
mass_2,2.169356016460242e+17,2.169356016460242e+16
sma_2,6940.0,30.0
ecc_2,0.095,0.005
aop_2,333.4401976536435,4.0
inc_2,44.119741378187015,0.6
lan_2,132.89129808692863,0.7
mea_2,309.3,0.7
j2r2_1,21780.0,2178.0
c22r2_1,2178.0,217.8
j2r2_2,575.0,57.5
c22r2_2,57.5,5.75
spaop_1,333.4401976536435,4.0
spinc_1,44.119741378187015,0.6
splan_1,132.89129808692863,0.7
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,89.11974137818702,0.6
splan_2,132.89129808692863,0.7
sprate_2,3.298770837882776e-07,3.298770837882776e-08
