,mean,stddev
mass_1,7.700365849955447e+18,7.700365849955447e+17
mass_2,4.1996341500445537e+18,4.199634150044554e+17
sma_2,3810.0,10.0
ecc_2,0.33399999999999996,0.002
aop_2,209.5715006821235,0.3
inc_2,55.13556573677207,0.3
lan_2,95.34093552162474,0.5
mea_2,353.0,0.3
j2r2_1,1175.0,117.5
c22r2_1,117.5,11.75
j2r2_2,960.0,96.0
c22r2_2,96.0,9.600000000000001
spaop_1,209.5715006821235,0.3
spinc_1,100.13556573677207,0.3
splan_1,95.34093552162474,0.5
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,100.13556573677207,0.3
splan_2,95.34093552162474,0.5
sprate_2,0.0002493,2.493e-05
lat_offset,0.00038515917758922673,0.005
long_offset,-6.959026042337224e-05,0.005
