,kboTIME,x,y,z
0,2452193.0238271686,5308674935.042634,-3982249872.6646113,100737449.58070518
1,2452194.062081446,5309780466.94092,-3984466153.07449,100754405.99222971
2,2452214.014293528,5339472933.369202,-4023139217.363726,101078275.07204963
3,2452215.000037412,5341328519.6242075,-4024804299.8095593,101094389.82353093
4,2452215.9955699327,5343236914.676112,-4026457892.2984514,101110656.61804892
5,2452217.0196192455,5345236083.627535,-4028128752.8069315,101127328.47007275
6,2452468.2661936483,5459617594.754422,-3710748435.839015,105197556.90662028
7,2452473.27541513,5449058309.290683,-3714168515.260522,105278440.88787937
8,2452493.176461233,5412389176.9617405,-3736899724.512769,105599993.31541182
9,2452525.226180815,5379632563.885296,-3797070006.827309,106117790.9712584
10,2452935.056196561,5483950361.000421,-3780775115.8566566,112703017.3018043
11,2453150.347127098,5725816992.966607,-3504877291.8880954,116133723.76738715
12,2453261.1211178345,5534551726.533181,-3581160715.9401193,117893963.62395716
13,2453562.229473467,5695980787.389901,-3366676024.8616486,122647392.50703073
14,2455177.1945896987,6022606302.324082,-3124430235.0907273,147468794.28793144
15,2455411.409277613,5989418334.7156515,-2784637613.574545,150967092.03471887
16,2455483.313506899,5960333952.388083,-2927576635.1426773,152039796.50994897
17,2455515.764851026,6016224801.484399,-2982325324.7613645,152525171.73356712
