,kboTIME,x,y,z
0,2452117.417500277,3829645538.332476,-5215229365.155907,-15031152.82220173
1,2452145.2348114024,3791614245.1951222,-5261154540.615196,-15929067.499566087
2,2452145.25577049,3791596018.997326,-5261196624.52784,-15929849.434298282
3,2452145.2768495735,3791577665.7302103,-5261238892.7871275,-15930664.395717854
4,2452146.250806596,3790723470.9451385,-5263216408.264649,-15962037.474813461
5,2452146.2714456664,3790706289.9423766,-5263258223.284443,-15962832.685755491
6,2452170.156504056,3781784565.562261,-5316277174.032538,-16734016.734804152
7,2452170.164783418,3781785896.2471886,-5316296429.595533,-16734316.809308771
8,2452170.1689230986,3781786561.036138,-5316306053.38495,-16734468.618621828
9,2452171.181504807,3781944602.843748,-5318671887.657784,-16767262.64271092
10,2452432.5206966028,4049190233.623457,-5123188222.945736,-25211234.121823084
11,2452432.531917466,4049166324.581476,-5123178521.800172,-25211696.266988996
12,2452519.9943339326,3898463145.223937,-5199455311.916466,-28034814.25920869
13,2452520.9924777793,3897956168.800729,-5201642121.537039,-28066943.903997656
14,2452849.053867107,4053504315.4303575,-5051385070.633423,-38654655.877898216
15,2452851.292392937,4049642698.5762115,-5054261341.890792,-38725650.479999304
16,2452939.994136212,4045375696.9897723,-5237061284.908036,-41584886.13823747
17,2452939.99870575,4045383966.0557427,-5237069941.17958,-41585034.51281907
18,2452940.0021254052,4045390154.737243,-5237076416.51278,-41585146.55655218
19,2453264.1289926535,4117084201.3486342,-5060019204.655582,-52029862.22592379
20,2453264.156460702,4117086120.4963536,-5060082471.832241,-52030812.707713604
21,2453289.9893958946,4132750988.2727056,-5119241371.05211,-52861819.882647045
22,2453290.130862449,4132920256.3978314,-5119550533.279823,-52866608.59391262
23,2453291.124908213,4134105431.317662,-5121718401.810923,-52898653.96982718
24,2453293.154104133,4136654559.724883,-5126095912.009643,-52964393.93786954
25,2453559.4401677013,4312136064.849132,-4860027591.997884,-61534364.927565336
26,2453559.4630486458,4312087571.22103,-4860037596.679155,-61535315.71010113
27,2453584.1194675923,4264669366.0241137,-4883197379.35706,-62327247.20834708
28,2453639.1625256357,4227878854.8980308,-4994112493.149032,-64094739.20570232
29,2453639.227740403,4227910592.5139375,-4994262374.053492,-64097323.09542036
30,2453647.1078976486,4232945509.976893,-5012383813.676407,-64350168.41196968
31,2453647.1436844957,4232975568.3522058,-5012464847.720063,-64351487.16736365
32,2454029.8883107794,4360050404.835246,-4959233854.039225,-76636698.74628139
33,2454036.037302038,4370255649.34367,-4971176075.268548,-76833387.32720089
34,2454036.0416516014,4370263495.914395,-4971184167.456235,-76833540.98862316
35,2454359.1853835164,4436613726.883548,-4785803597.028446,-87180422.49225928
36,2454359.1916031106,4436613857.686056,-4785817732.583375,-87180654.7819686
37,2454359.227290785,4436614567.606907,-4785898738.00163,-87182034.2571981
38,2454360.0112795793,4436619494.813198,-4787692271.772202,-87206972.54685546
39,2454360.0161092556,4436619760.572625,-4787703403.055559,-87207094.70305896
40,2454383.002022577,4448879426.448778,-4840120992.111332,-87940417.09635329
41,2454383.010001851,4448887900.284336,-4840138656.708223,-87940649.69704677
42,2454383.0268203192,4448905777.978254,-4840175852.372672,-87941155.00747895
43,2454407.0758654773,4485507936.997489,-4888009190.194086,-88709002.25846982
44,2454407.0800650553,4485516334.055309,-4888016288.836558,-88709165.80807282
45,2454416.017677223,4504499449.961522,-4902042156.554994,-88994855.82932568
46,2454680.4243254634,4578309245.766203,-4605182863.286576,-97438167.43286897
47,2454763.084608101,4571153331.150431,-4775274830.5178795,-100067351.85700798
48,2455029.5011414597,4708982010.625273,-4489874577.204344,-108544192.37781549
49,2455029.505431613,4708973343.947495,-4489877870.301383,-108544378.18020608
50,2455029.509721766,4708964674.222709,-4489881163.670194,-108544564.17361665
51,2455029.5140119186,4708956001.438107,-4489884457.394921,-108544750.3217175
52,2455029.518312072,4708947305.358994,-4489887759.238256,-108544937.02230431
53,2455029.522592225,4708938646.656249,-4489891046.247852,-108545122.93600895
54,2455124.1151108528,4664831471.6576,-4668822019.562985,-111541238.80424023
55,2455124.119340448,4664837751.925883,-4668830510.616399,-111541402.18926215
56,2455124.1231100867,4664843348.143335,-4668838075.947352,-111541548.68857169
57,2455124.1273296834,4664849611.066435,-4668846541.730474,-111541713.6409085
58,2455307.3027147604,4976821462.300254,-4475619131.517509,-117348498.02841164
59,2455307.3238667077,4976800391.333896,-4475566871.016673,-117348936.7297728
60,2455307.3288671672,4976795418.863375,-4475554513.809753,-117349042.17015004
61,2455307.333867627,4976790449.661149,-4475542155.399307,-117349148.3828175
62,2455307.3388680876,4976785483.66295,-4475529795.661212,-117349255.42008328
63,2455307.343858546,4976780530.726357,-4475517459.205358,-117349363.11663462
64,2455359.3636482744,4885504980.977805,-4388071756.396632,-118994548.15845181
65,2455359.3678886173,4885495635.087902,-4388068829.05884,-118994680.53457452
66,2455359.371658921,4885487325.169365,-4388066224.293916,-118994799.34893727
67,2455359.375889263,4885478001.208463,-4388063299.551457,-118994933.9072981
68,2455417.2169295996,4767557891.069929,-4417033804.286202,-120821498.7591567
69,2455417.2211595974,4767551771.46537,-4417040447.1515875,-120821633.33079553
70,2455417.2247095956,4767546635.994294,-4417046020.2026615,-120821747.28608347
71,2455417.2287095925,4767540849.8817425,-4417052297.586823,-120821876.79724504
72,2455417.232599591,4767535223.1573105,-4417058400.203439,-120822003.8740709
73,2455417.23521959,4767531433.548725,-4417062509.265008,-120822090.08836317
74,2455417.237829589,4767527658.475362,-4417066601.69294,-120822176.47287728
75,2455417.2404495873,4767523868.985098,-4417070708.853075,-120822263.68860674
76,2455417.243059586,4767520093.984974,-4417074799.39543,-120822351.06860757
77,2455417.2457895842,4767516145.428823,-4417079077.004933,-120822442.99558355
78,2455440.2927794424,4742727387.050997,-4460063051.787576,-121549323.5558629
79,2455440.2975292616,4742724423.684538,-4460072954.385182,-121549516.89824152
80,2455440.3022890817,4742721451.691728,-4460082875.824298,-121549711.6739471
81,2455440.3070589015,4742718470.9817095,-4460092816.182404,-121549907.84936883
82,2455440.3117987216,4742715506.493878,-4460102692.204016,-121550103.73257756
