,mean,stddev
mass_1,4.1e+18,4e+16
mass_2,0.0,0.0
sma_2,9960.0,30.0
ecc_2,0.418,0.002
aop_2,317.49476895387346,2.0
inc_2,160.94548183977616,0.2
lan_2,15.528185475323271,1.0
mea_2,181.0,2.0
j2r2_1,35701.25,3570.125
c22r2_1,3570.125,357.01250000000005
j2r2_2,770.0,77.0
c22r2_2,77.0,7.7
spaop_1,317.49476895387346,2.0
spinc_1,115.94548183977616,0.2
splan_1,15.528185475323271,1.0
sprate_1,5.262547415904491e-07,5.262547415904491e-08
spaop_2,180.0,20.0
spinc_2,115.94548183977616,0.2
splan_2,15.528185475323271,1.0
sprate_2,5.262547415904491e-07,5.262547415904491e-08
