,mean,stddev
mass_1,7.462587710635153e+17,7.462587710635154e+16
mass_2,1.2374122893648478e+17,1.237412289364848e+16
sma_2,1580.0,20.0
ecc_2,0.507,0.009000000000000001
aop_2,128.80522174676594,1.0
inc_2,52.52239299982944,2.0
lan_2,234.14529863852692,2.0
mea_2,17.0,1.0
j2r2_1,32805.0,3280.5
c22r2_1,3280.5,328.05
j2r2_2,445.0,44.5
c22r2_2,44.5,4.45
spaop_1,128.80522174676594,1.0
spinc_1,97.52239299982944,2.0
splan_1,234.14529863852692,2.0
sprate_1,3.83678176214255e-06,3.83678176214255e-07
spaop_2,180.0,20.0
spinc_2,52.52239299982944,2.0
splan_2,234.14529863852692,2.0
sprate_2,3.83678176214255e-06,3.83678176214255e-07
lat_offset,0.0001684817665184483,0.005
long_offset,-0.0005816091357361278,0.005
