,large_low_synch_low_synch_offset,large_low_synch_low_synch_,large_low_synch_low_fast_offset,large_low_synch_low_fast_,large_low_synch_high_synch_offset,large_low_synch_high_synch_,large_low_synch_high_fast_offset,large_low_synch_high_fast_,large_low_fast_low_synch_offset,large_low_fast_low_synch_,large_low_fast_low_fast_offset,large_low_fast_low_fast_,large_low_fast_high_synch_offset,large_low_fast_high_synch_,large_low_fast_high_fast_offset,large_low_fast_high_fast_,large_high_synch_low_synch_offset,large_high_synch_low_synch_,large_high_synch_low_fast_offset,large_high_synch_low_fast_,large_high_synch_high_synch_offset,large_high_synch_high_synch_,large_high_synch_high_fast_offset,large_high_synch_high_fast_,large_high_fast_low_synch_offset,large_high_fast_low_synch_,large_high_fast_low_fast_offset,large_high_fast_low_fast_,large_high_fast_high_synch_offset,large_high_fast_high_synch_,large_high_fast_high_fast_offset,large_high_fast_high_fast_,shape_low_synch_low_synch_offset,shape_low_synch_low_synch_,shape_low_synch_low_fast_offset,shape_low_synch_low_fast_,shape_low_synch_high_synch_offset,shape_low_synch_high_synch_,shape_low_synch_high_fast_offset,shape_low_synch_high_fast_,shape_low_fast_low_synch_offset,shape_low_fast_low_synch_,shape_low_fast_low_fast_offset,shape_low_fast_low_fast_,shape_low_fast_high_synch_offset,shape_low_fast_high_synch_,shape_low_fast_high_fast_offset,shape_low_fast_high_fast_,shape_high_synch_low_synch_offset,shape_high_synch_low_synch_,shape_high_synch_low_fast_offset,shape_high_synch_low_fast_,shape_high_synch_high_synch_offset,shape_high_synch_high_synch_,shape_high_synch_high_fast_offset,shape_high_synch_high_fast_,shape_high_fast_low_synch_offset,shape_high_fast_low_synch_,shape_high_fast_low_fast_offset,shape_high_fast_low_fast_,shape_high_fast_high_synch_offset,shape_high_fast_high_synch_,shape_high_fast_high_fast_offset,shape_high_fast_high_fast_
large_low_synch_low_synch_offset,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_low_synch_,0.6048273304586378,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_low_fast_offset,7.974695356752068,8.468058413433312,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_low_fast_,7.593729067827766,7.974695356752122,0.6048273304585976,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_high_synch_offset,5.339858347892191,5.901346846475824,2.779110752493719,2.510989275276937,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_high_synch_,4.964791791362483,5.339858347892201,3.241690963218168,2.779110752493815,0.6048273304586104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_high_fast_offset,4.7725538342214895,4.899666635512404,11.687882055181404,11.248820587409949,9.053101021890637,8.54945187419494,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_synch_high_fast_,5.0427793698298995,4.772553834221446,12.201629179077935,11.687882055181456,9.624684488701508,9.053101021890626,0.6048273304586032,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_low_synch_offset,10.158840586639851,10.695245803651943,2.2966848537642397,2.8835696253243324,4.951943500288671,5.480136242519243,13.913098563681768,14.459667903641623,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_low_synch_,9.672477318263429,10.158840586639815,1.7855704405538155,2.2966848537641575,4.508129277819687,4.951943500288645,13.401086456730248,13.913098563681725,0.6048273304586615,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_low_fast_offset,9.714232739842949,10.247995749616145,1.8351666742619246,2.420797621610225,4.511482948267863,5.039749207076987,13.467421717564003,14.011268901456084,0.7904572907309221,1.039220710182628,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_low_fast_,9.22701625500643,9.714232739842975,1.3071639050736732,1.8351666742619237,4.058053218794569,4.511482948267899,12.95626144161101,13.46742171756403,1.1035783476923515,0.7904572907309658,0.6048273304585717,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_high_synch_offset,9.51021509145271,10.056608451502774,1.8618407065606115,2.3748167759428824,4.295944636997136,4.836667736652935,13.267238035369047,13.824631822763685,1.2751818725176014,1.1481727035261406,1.0645668571452973,1.0444883711519097,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_high_synch_,9.023155149995786,9.510215091452762,1.6903082713248354,1.861840706560686,3.888267731461886,4.295944636997191,12.747963271136323,13.2672380353691,1.6768205249525485,1.275181872517511,1.3243146942473663,1.0645668571452636,0.6048273304585621,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_high_fast_offset,7.468847416055616,7.9613544080402345,0.6405894185816619,0.7703851993697086,2.2902605279590755,2.7541879220871994,11.203824888778463,11.721038144091947,2.7786668592749364,2.298020348536409,2.33198429344218,1.846424096996425,2.184591388220346,1.99544236097521,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_low_fast_high_fast_,7.07536432202436,7.468847416055672,1.1267891642328882,0.640589418581675,2.0256236297504007,2.290260527959172,10.752248146188265,11.203824888778513,3.3395131713599198,2.7786668592748476,2.887654190816038,2.331984293442164,2.753286827705602,2.184591388220432,0.6048273304585934,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_low_synch_offset,8.266959082739518,8.821172824810795,1.8021216523798536,1.943580771348191,3.0937732084622307,3.5890849580643853,12.009674022407214,12.576915691223283,2.2881133092232355,1.9473989543264416,1.8573053637694419,1.498425551372063,1.3868737382479233,0.976381243870674,2.170022559808574,2.323576243024979,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_low_synch_,7.922379481774527,8.26695908273949,1.8470870995156021,1.8021216523799553,3.2263552943904044,3.093773208462279,11.500991789863551,12.009674022407172,2.733507489561654,2.288113309223262,2.316344921320413,1.8573053637695334,1.9278688837858602,1.386873738248027,2.20571582974231,2.170022559808697,0.6048273304586574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_low_fast_offset,8.79875405788495,9.347923863854255,2.135658483956458,2.3099672676804044,3.546697343833501,4.106729612193254,12.540569971817817,13.103951241569906,2.102344542709771,1.7905801747398602,1.7057485355619282,1.5300535213547584,0.9507824974937431,0.7231632515418067,2.5028113607993374,2.6904217049309516,0.5448512724525304,1.1232694105890357,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_low_fast_,8.413090575555458,8.798754057885036,2.1596775782503226,2.135658483956448,3.586673016000077,3.5466973438335785,12.02957786572004,12.540569971817892,2.5118219575515917,2.1023445427096736,2.0978781237579063,1.7057485355618696,1.440644523048565,0.950782497493722,2.5227211772698257,2.5028113607993436,0.5458306829544349,0.544851272452638,0.6048273304585405,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_high_synch_offset,8.38292579782956,8.937435035889138,1.9142442852387216,2.057036391296923,3.2049985415980604,3.703986861990475,12.12487631043161,12.69221769143289,2.2803999040887373,1.9490674160201809,1.8479192041277042,1.5244449265576347,1.2872329451146758,0.8892511799116898,2.28217884596231,2.4371119095408327,0.11643248106921283,0.7154418487983362,0.43155507735386134,0.4541836661433192,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_high_synch_,8.036162948821973,8.382925797829646,1.9545483386614055,1.91424428523867,3.3366857437673345,3.2049985415979774,11.615213176803127,12.124876310431663,2.708106207426012,2.2803999040886125,2.287000031348174,1.8479192041276353,1.8244534230037779,1.2872329451146505,2.314384087530236,2.282178845962272,0.5074637108764526,0.11643248106925375,1.010407340880123,0.43155507735383924,0.6048273304585919,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_high_fast_offset,8.4288858241684,8.983584676748706,1.9638480962093432,2.106227934546619,3.2551487130173347,3.7506987863747816,12.171087829096823,12.738535730804431,2.3385755583315255,2.011473323444389,1.901379365868528,1.5763676786773206,1.257406741369834,0.8765751382027825,2.332029837067819,2.4863262381947298,0.16435047757927804,0.7618241477303082,0.3856763574829711,0.4049909205208885,0.06655600631003689,0.6502589053992442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_synch_high_fast_,8.083329210668097,8.428885824168507,2.0045409822922506,1.9638480962092912,3.38655939745013,3.255148713017239,11.661848766345816,12.171087829096894,2.7564978885205096,2.3385755583314047,2.328731148661749,1.9013793658684588,1.7889595194509629,1.2574067413697891,2.3648069329175287,2.3320298370677803,0.5469187027569129,0.16435047757916998,0.9647692822073062,0.3856763574829271,0.5692167763501459,0.06655600631005446,0.6048273304585492,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
