,kboTIME,x,y,z
0,2452935.0335310125,5339907278.306294,-3978214553.9237185,-286338634.62579304
1,2453261.105292917,5391260673.571207,-3781435771.624921,-292384749.7291468
2,2453529.375788309,5628650209.104673,-3575611240.983335,-297286747.56698585
3,2453530.3209050135,5626504279.971459,-3574795382.413487,-297303984.0127363
4,2453560.31569123,5557609253.222547,-3568639822.6516514,-297847518.2381737
5,2453576.080584491,5524666602.94356,-3580306003.137691,-298134248.9175563
6,2453591.1818719823,5498327482.189195,-3599936192.6458383,-298405845.522315
7,2453596.953180667,5490038423.943407,-3609315311.436205,-298512267.6698689
8,2453617.474939988,5470266384.810873,-3649035964.5788593,-298882928.56426054
9,2453995.861010445,5539905375.325362,-3563057655.8748007,-305646238.04054254
10,2454384.378165651,5622451578.665974,-3498059049.530422,-312448231.26771337
11,2454961.0687797316,5970577160.015464,-3151797165.58779,-322266369.90280217
