,kboTIME,x,y,z
0,2453745.934709737,-6635708152.835014,-1581059899.9829342,3452083044.342057
1,2453746.0597210242,-6635388158.832315,-1580981793.519259,3452086452.0307274
2,2453746.1847322076,-6635070958.659484,-1580903972.4951606,3452090273.898104
3,2453746.3097433164,-6634755068.710917,-1580827810.9676049,3452095104.53432
4,2453746.434754421,-6634438382.020539,-1580753313.4339411,3452100944.286144
5,2453746.559765592,-6634119409.723799,-1580679112.529862,3452107199.0508776
6,2453746.6847768603,-6633798158.5616665,-1580603274.5218863,3452113030.1005726
7,2453746.809788196,-6633476127.725376,-1580524438.2957501,3452117847.9492726
8,2453746.934799528,-6633155426.899899,-1580442617.1694672,3452121659.45903
9,2453747.0598107865,-6632837534.829194,-1580359191.3989942,3452125063.7979393
10,2453747.184821941,-6632522429.398116,-1580276095.7894073,3452128899.6302605
11,2453747.3098330214,-6632208601.465455,-1580194680.7709918,3452133751.2839403
12,2453747.4348440985,-6631893944.3028,-1580114917.5735528,3452139604.679343
13,2453747.5598552437,-6631576994.910433,-1580035415.5166214,3452145855.6189637
14,2453747.6848664847,-6631257796.285405,-1579954241.2345908,3452151665.5568995
15,2453747.809877792,-6630937872.911975,-1579870057.4519522,3452156455.360031
16,2453747.934889094,-6630619333.9064,-1579782910.762883,3452160246.319112
17,2453748.0599003197,-6630303631.911974,-1579694204.546536,3452163647.6118894
18,2453748.1849114415,-6629990708.544969,-1579605872.966278,3452167497.600363
19,2453748.3099224903,-6629679029.579128,-1579519242.4274929,3452172370.1773896
20,2453748.4349335376,-6629366489.151056,-1579434250.902452,3452178236.8409896
21,2453748.559944653,-6629051650.562662,-1579349484.8076663,3452184483.477444
22,2453748.684955864,-6628734593.058166,-1579263011.7192318,3452190271.9707923
23,2453748.8099671397,-6628416865.967466,-1579173518.5978847,3452195033.7119117
24,2453748.934978408,-6628100577.217658,-1579081085.3020163,3452198804.413834
25,2453749.0599895986,-6627787152.925083,-1578987137.9205322,3452202203.083655
26,2453749.1850006846,-6627476498.458195,-1578893609.4046488,3452206067.533038
27,2453749.3100116984,-6627167054.963115,-1578801801.744321,3452210961.049902
28,2453749.4350227118,-6626856718.067947,-1578711619.674712,3452216840.7182527
29,2453749.5600337945,-6626544077.804601,-1578621627.129782,3452223082.689674
30,2453749.6850449727,-6626229249.644181,-1578529893.20141,3452228849.525865
31,2453749.8100562133,-6625913807.306835,-1578435129.4774292,3452233583.309671
32,2453749.935067444,-6625599856.90973,-1578337449.0591257,3452237334.16559
33,2453750.060078596,-6625288797.623175,-1578238300.3255155,3452240730.746755
34,2453750.1850896436,-6624980498.598656,-1578139614.4460416,3452244610.0664988
35,2453750.310100619,-6624673376.818674,-1578042668.6123743,3452249524.64107
36,2453750.435111596,-6624365330.028172,-1577947334.3532326,3452255417.153056
37,2453750.560122642,-6624054975.408812,-1577852153.5475147,3452261654.2037377
38,2453750.685133784,-6623742464.626837,-1577755197.3768454,3452267399.2799897
39,2453750.8101449865,-6623429395.329326,-1577655202.4400353,3452272105.321374
40,2453750.935156177,-6623117871.202561,-1577552315.0504377,3452275836.8487206
41,2453751.060167287,-6622809264.059005,-1577448005.4512215,3452279231.9749317
42,2453751.185178292,-6622503406.873969,-1577344202.461242,3452283126.6671906
43,2453751.3101892266,-6622198692.936781,-1577242158.0985754,3452288062.506489
44,2453751.435200163,-6621893022.733179,-1577141710.7261593,3452293967.7908435
45,2453751.5602111705,-6621585041.005566,-1577041380.601961,3452300199.758486
46,2453751.6852222723,-6621274935.572153,-1576939241.5708134,3452305923.068735
47,2453751.8102334333,-6620964327.535815,-1576834055.6190562,3452310601.6794167
48,2453751.9352445803,-6620655317.531014,-1576726002.2315235,3452314314.4882407
49,2453752.0602556453,-6620349249.607895,-1576616573.083163,3452317708.8787713
50,2453752.185266605,-6620045920.6164465,-1576507694.0741296,3452321619.5244555
