	dist. shape	uni-low	uni-up	log-uni-low	log-uni-up	norm-cen	norm-spread	log-norm-cen	log-norm-spread
mass_1	0	0	1e30	0	0	1.275e+19	6e+16	1.275e+19	6e+16
mass_2	0	0	1e30	0	0	7.5e+17	7.5e+15	7.5e+17	7.5e+15
sma_2	0	0	1.5e10	0	0	7411	12	7411	12
ecc_2	0	0	1	0	1	0.2949	0.0009	0.2949	0.0009
aop_2	0	0	360	0	180	5	1	5	1
inc_2	0	0	180	0	180	79.3	0.2	79.3	0.2
lan_2	0	0	360	0	1	325.2	0.1	325.2	0.1
mea_2	0	0	360	0	1	5	1	5	1
mass_3	0	0	1e30	0	0	7.5e+17	7.5e+15	7.5e+17	7.5e+15
sma_3	0	0	1.5e10	0	0	7411	12	7411	12
ecc_3	0	0	1	0	1	0.2949	0.0009	0.2949	0.0009
aop_3	0	0	360	0	180	5	1	5	1
inc_3	0	0	180	0	180	79.3	0.2	79.3	0.2
lan_3	0	0	360	0	1	325.2	0.1	325.2	0.1
mea_3	0	0	360	0	1	5	1	5	1
j2r2_1	0	0	1e9	1	1	1	1	1	1
spinc_1	0	0	180	14	14	14	14	14	14
splan_1	0	0	360	15	15	15	15	15	15
sprate_1	0	0	0.01	16	16	16	16	16	16
j2r2_2	0	0	1e9	1	1	1	1	1	1
spinc_2	0	0	180	14	14	14	14	14	14
splan_2	0	0	360	15	15	15	15	15	15
sprate_2	0	0	0.01	16	16	16	16	16	16
jitter	0	0	1	0	0	0	0	0	0
pbad	0	0	1	0	0	0	0	0	0
