,geocentricTime,x,y,z
0,2453687.379651088,-5773158335.8066,3626386597.3145814,-2164735825.690361
1,2454040.093836986,-5858483766.706404,3553411823.276691,-2187303046.498673
2,2454042.291035346,-5855207032.322022,3548439868.9780116,-2187440446.6161118
3,2454044.090094005,-5852410745.047486,3544475056.221993,-2187553954.041253
4,2454051.303238632,-5840118890.286547,3529578129.47191,-2188007026.7033834
5,2454055.812825277,-5831647230.743921,3521156492.244159,-2188293679.1753044
6,2454065.870467807,-5810854971.702369,3505095165.323783,-2188924665.6352806
7,2454080.060137297,-5778271556.33846,3489519048.337876,-2189812167.8628206
8,2454416.016937783,-5903420264.585382,3430099035.9770007,-2210543393.8936863
9,2454439.504151664,-5854140985.728222,3394244562.836165,-2211968726.1586785
10,2455250.460268553,-5806922383.470508,3242796659.8974433,-2259097397.668981
11,2457117.602568096,-6058221285.588815,2800536932.6053085,-2352222268.5783877
