,geocentricTime,x,y,z
0,2453687.379650903,-5773162246.621141,3626389419.556112,-2164737500.898199
1,2454040.093836799,-5858487772.315945,3553414566.7530403,-2187304734.5457077
2,2454042.291035159,-5855211038.550475,3548442611.9487104,-2187442134.745719
3,2454044.090093818,-5852414751.780136,3544477798.7896256,-2187555642.2428885
4,2454051.303238445,-5840122899.042271,3529580870.386353,-2188008715.180843
5,2454055.81282509,-5831651240.7525425,3521159232.1323957,-2188295367.8293743
6,2454065.87046762,-5810858984.517611,3505097902.9038167,-2188926354.6768284
7,2454080.060137109,-5778275573.095648,3489521782.647418,-2189813857.446197
8,2454416.016937593,-5903424374.542425,3430101697.243247,-2210545096.754855
9,2454439.504151472,-5854145102.42507,3394247218.8124213,-2211970429.9894357
10,2455250.460268354,-5806926736.416717,3242799144.656084,-2259099137.6094556
11,2457117.602567872,-6058226243.342119,2800539057.029353,-2352224114.5263324
12,2459271.652425722,-6294677694.42566,2043659417.527259,-2432447215.994478
