,kboTIME,x,y,z
0,2453937.912736807,5829821897.98357,-1268289746.252633,2470242566.598706
1,2454294.875298583,5882663872.850982,-1130374917.8149004,2494942846.889209
2,2454296.8259603805,5878257786.4830475,-1131503539.996849,2495074456.7938337
3,2454323.461878102,5826334392.021344,-1160904902.562174,2496874813.3181973
4,2454324.2763821026,5825048778.3688755,-1162174940.4512568,2496931339.9553103
5,2454324.4067673995,5824847974.470364,-1162376897.482297,2496939033.7407556
6,2454346.4032696187,5799246993.329138,-1202711838.0279999,2498419313.252641
7,2454605.7640253045,6042348653.545489,-1030113462.0325868,2515545275.07011
8,2455176.262095067,5980481339.7217455,-1095405221.904243,2551148862.387774
9,2455411.3995934343,5926389555.717561,-749076212.5808218,2564985347.318076
10,2456491.516457957,6019064301.050597,-328660633.8116122,2622289383.2148795
11,2456528.504093747,5954051975.890072,-378890946.14075136,2624070035.260022
12,2457234.482511297,6019305434.473008,-70783036.2660811,2655702855.343162
13,2457606.4562236345,6015990563.69452,55455652.1884433,2670582539.3692136
14,2459453.6332115782,5992943566.317344,695584344.2973831,2726202126.1397395
