time,x,y,ex,ey
2453746.525, 0.04134,-0.18746,0.00267,0.00267
2453746.554, 0.03867,-0.19174,0.00267,0.00267
2454138.287,-0.02627,-0.57004,0.00702,0.00351
2454138.304,-0.03107,-0.56624,0.00210,0.00782
2454138.351,-0.03009,-0.55811,0.00527,0.00564
2454138.368,-0.03133,-0.56000,0.00482,0.00663
2454138.418,-0.03134,-0.54559,0.00385,0.00376
2454138.435,-0.02791,-0.54794,0.00571,0.00524
2454138.484,-0.02972,-0.53385,0.00797,0.01330
2454138.501,-0.03226,-0.53727,0.00531,0.00400
2454138.551,-0.03429,-0.53079,0.00497,0.00582
2454138.567,-0.03576,-0.52712,0.00270,0.00479
2454469.653,-0.02399,-0.28555,0.00670,0.00831
2454593.726, 0.00243,-0.75878,0.00576,0.00761
2454600.192,-0.02325,0.19934,0.00480,0.01161
2454601.990,-0.02293,0.50217,0.00618,0.00614
2454603.788,-0.01174,0.59613,0.00366,0.00485
2454605.788, 0.00006,0.29915,0.00425,0.00613
2455375.655,-0.00735,0.19620,0.00168,0.00161
2455375.673,-0.00766,0.18829,0.00326,0.00336
2455375.719,-0.00729,0.18426,0.00202,0.00778
2455375.737,-0.00612,0.17861,0.00170,0.00252
2455375.786,-0.00926,0.16304,0.00144,0.00274
