,kboTIME,x,y,z
0,2459946.448015593,12852666865.367025,5616982188.4626045,-2770930205.4948916
1,2459956.447046906,12877051817.743511,5625734665.528937,-2769538382.7116003
2,2459966.4460718133,12899765052.957024,5638727338.273873,-2768147659.147865
3,2459976.445121516,12920061385.040272,5655603012.115425,-2766755691.6681557
4,2459986.4442255204,12937310648.351353,5675841442.063594,-2765364764.562094
5,2459996.443410235,12950992960.226324,5698868766.309813,-2763974027.4082227
6,2460006.442701057,12960663878.214043,5724001680.485416,-2762582241.9579372
7,2460016.4421181604,12966059813.726389,5750486643.760783,-2761191780.3776903
8,2460026.44167766,12967030787.390802,5777584223.599931,-2759800483.7971835
9,2460036.4413925484,12963543922.434404,5804500779.233841,-2758408745.4829698
10,2460046.44126913,12955747893.012875,5830479119.766679,-2757018080.3081737
11,2460056.441310161,12943871556.590515,5854826508.19969,-2755625843.605623
12,2460066.4415140934,12928269435.59324,5876858766.347884,-2754233899.863972
13,2460076.441873291,12909424891.917706,5896010317.109801,-2752842321.025934
14,2460086.4423778374,12887854686.761719,5911799086.832934,-2751449021.522526
15,2460096.4430131847,12864182949.495346,5923808364.577422,-2750056560.276696
16,2460106.4437606884,12839083299.515146,5931779728.499625,-2748663538.200478
17,2460116.444600692,12813223576.386248,5935532471.367541,-2747269279.8592753
18,2460126.4455094226,12787339165.742413,5934995687.135944,-2745875998.6484356
19,2460136.4464616887,12762133432.857073,5930254098.749287,-2744481359.523438
20,2460146.447432225,12738279140.768934,5921454433.638111,-2743086372.6098056
21,2460156.4483931507,12716458581.637842,5908878389.847871,-2741692040.7367463
22,2460166.449317998,12697254325.937359,5892926509.663098,-2740296008.3086743
23,2460176.450180999,12681202267.654913,5874045687.374776,-2738900539.4417286
24,2460186.4509562748,12668778313.548656,5852814098.14174,-2737505062.513687
25,2460196.451621929,12660314512.423244,5829867230.778207,-2736108184.3274484
26,2460206.4521576916,12656080849.58877,5805870275.928016,-2734712496.918848
27,2460216.452546291,12656221057.744589,5781578755.930773,-2733316083.139902
28,2460226.4527762434,12660722499.832808,5757728648.687351,-2731919113.5475993
29,2460236.452838795,12669495780.227674,5735059365.730055,-2730523458.899581
30,2460246.452730951,12682285055.922903,5714323098.081061,-2729126579.9040217
31,2460256.4524558797,12698705118.500284,5696174023.265244,-2727730173.7462597
32,2460266.4520202344,12718292030.279415,5681229721.359083,-2726334684.8659153
33,2460276.451437557,12740425064.728313,5670024315.139514,-2724937941.4332166
34,2460286.450725969,12764422781.44227,5662936165.615737,-2723542474.772773
35,2460296.449906738,12789549968.066706,5660264744.37995,-2722147166.0990057
36,2460306.449006681,12814982716.89165,5662146979.356084,-2720751092.097518
37,2460316.448053874,12839931412.178276,5668553358.307912,-2719356569.2713385
38,2460326.447077946,12863603213.432293,5679354301.476792,-2717961368.3970895
39,2460336.4461106374,12885222128.5868,5694232922.918316,-2716566214.097631
40,2460346.445181186,12904132122.639526,5712753901.327593,-2715172269.3137655
41,2460356.44431828,12919727874.693077,5734396273.649012,-2713777063.753187
42,2460366.44354869,12931520267.796469,5758493516.383462,-2712382685.992962
43,2460376.442894124,12939179529.601868,5784348412.877731,-2710988699.7324357
44,2460386.4423741363,12942459097.66591,5811218823.576231,-2709593367.2392387
45,2460396.4420033153,12941283844.131918,5838303954.598017,-2708199282.5910625
46,2460406.44179067,12935719300.865183,5864860197.093009,-2706804590.2747426
47,2460416.441742344,12925918865.827156,5890143688.38772,-2705408997.9839272
48,2460426.4418581794,12912206835.721125,5913447971.312029,-2704014546.6539226
49,2460436.4421336567,12894989517.652706,5934179065.81318,-2702618665.8007107
50,2460446.442561272,12874748517.369488,5951777500.316318,-2701222651.48313
51,2460456.4431275637,12852090525.113949,5965797988.611658,-2699827186.948206
52,2460466.443816745,12827635333.668533,5975921008.261241,-2698429963.117448
53,2460476.444610164,12802058855.53302,5981887148.704672,-2697033335.0048723
54,2460486.445484879,12776089279.970333,5983594290.290016,-2695636396.352566
55,2460496.4464176944,12750410982.51257,5981046830.626502,-2694238007.3022666
56,2460506.447382928,12725739139.153906,5974330676.576841,-2692840588.022559
57,2460516.448353223,12702759034.033045,5963693890.553028,-2691442038.43216
58,2460526.4493026887,12682075711.280233,5949454580.443627,-2690042876.567897
59,2460536.4502039547,12664287831.950703,5932027336.506203,-2688644573.7691836
60,2460546.4510311102,12649888249.600737,5911956098.334647,-2687244673.9352183
61,2460556.4517610315,12639272317.387363,5889812496.870445,-2685845188.3153715
62,2460566.4523710143,12632778898.617744,5866261629.906733,-2684446052.560974
63,2460576.4528428903,12630586498.0734,5842031570.206822,-2683045415.047589
64,2460586.4531621975,12632774664.238749,5817834194.402778,-2681645992.2077746
65,2460596.45331739,12639315362.061792,5794440820.34045,-2680246240.0559387
66,2460606.4533036333,12650003021.897537,5772595420.595557,-2678845647.602442
67,2460616.453120093,12664548612.58382,5752981868.319503,-2677446547.531237
68,2460626.4527709535,12682527366.170374,5736277044.47217,-2676046541.258064
69,2460636.4522673977,12703371345.766441,5723036593.393357,-2674646687.265177
70,2460646.4516238496,12726466359.895323,5713719395.596119,-2673248007.5907803
71,2460656.45086026,12751080168.213964,5708698235.943591,-2671848182.424662
72,2460666.450001395,12776424137.104116,5708160235.770866,-2670449432.0761485
